name,type,latitude,longitude,operator,source
Pune Station Bus Stand,Bus Stop,18.5276102,73.872967,PMPML,OSM
Raste Wada,Bus Stop,18.5211941,73.8647408,PMPML,OSM
Sadashiv Peth Houd,Bus Stop,18.5135108,73.8506376,PMPML,OSM
Sadhu Vaswani Chowk,Bus Stop,18.5255769,73.8765892,PMPML,OSM
Sahajanand,Bus Stop,18.4963603,73.8020771,PMPML,OSM
Sahajanand,Bus Stop,18.4963634,73.8019682,PMPML,OSM
Sassoon Hospital,Bus Stop,18.525038,73.8715737,PMPML,OSM
Shaniwarwada,Bus Stop,18.5196781,73.8544934,PMPML,OSM
Shivtirth Nagar,Bus Stop,18.5083378,73.8097254,PMPML,OSM
Sonya Maruti Chowk,Bus Stop,18.5159403,73.8591721,PMPML,OSM
Vanaz Corner,Bus Stop,18.5072076,73.8077817,PMPML,OSM
Vijay Talkies,Bus Stop,18.5137283,73.8461613,PMPML,OSM
Vivekanand Society,Bus Stop,18.5040593,73.8054527,PMPML,OSM
15 August Chowk,Bus Stop,18.5223998,73.866343,PMPML,OSM
Gandhibhavan Corner,Bus Stop,18.4949314,73.8133194,PMPML,OSM
Gandhibhavan Corner,Bus Stop,18.4957595,73.8133582,PMPML,OSM
Karve Putala,Bus Stop,18.5017568,73.8151114,PMPML,OSM
Kothrud Stand,Bus Stop,18.4992732,73.8137365,PMPML,OSM
Paud Phata,Bus Stop,18.5055329,73.8242118,PMPML,OSM
SNDT,Bus Stop,18.5071341,73.8284528,PMPML,OSM
Alka Talkies,Bus Stop,18.5134183,73.8443831,PMPML,OSM
Appa Balwant Chowk,Bus Stop,18.5164089,73.8531058,PMPML,OSM
Bharati Nagar,Bus Stop,18.5076602,73.7970293,PMPML,OSM
Bharati Nagar,Bus Stop,18.5078301,73.7970494,PMPML,OSM
Kachra Depot,Bus Stop,18.5074591,73.7993259,PMPML,OSM
Kachra Depot,Bus Stop,18.5075375,73.7998674,PMPML,OSM
Kanyashala,Bus Stop,18.5163274,73.8508081,PMPML,OSM
Kanyashala,Bus Stop,18.5164014,73.8508112,PMPML,OSM
Kanyashala,Bus Stop,18.5164585,73.8508089,PMPML,OSM
Kesariwada,Bus Stop,18.5161391,73.8490922,PMPML,OSM
Kesariwada,Bus Stop,18.516199,73.8490922,PMPML,OSM
Kothrud Depot,Bus Stop,18.5077706,73.7950301,PMPML,OSM
Kothrud Depot,Bus Stop,18.5079364,73.7957057,PMPML,OSM
Mati Ganapati,Bus Stop,18.5157742,73.8467218,PMPML,OSM
Mati Ganapati,Bus Stop,18.5159612,73.8475353,PMPML,OSM
Nana Wada,Bus Stop,18.5183421,73.8562164,PMPML,OSM
Paramhans Corner,Bus Stop,18.5070168,73.8042777,PMPML,OSM
Paramhans Corner,Bus Stop,18.5071357,73.8039608,PMPML,OSM
Shastrinagar,Bus Stop,18.5043491,73.8039771,PMPML,OSM
Vasant Talkies,Bus Stop,18.5175013,73.8562412,PMPML,OSM
Chaturshrungi Mandir,Bus Stop,18.5398943,73.8297376,PMPML,OSM
Bus Stop,Bus Stop,18.5162246,73.8291643,PMPML,OSM
Bus Stop,Bus Stop,18.5190151,73.8312717,PMPML,OSM
Bus Stop,Bus Stop,18.5251849,73.8766883,PMPML,OSM
Bus Stop,Bus Stop,18.5144797,73.9242753,PMPML,OSM
DSK Vishwa Road,Bus Stop,18.4470544,73.8037137,PMPML,OSM
Shree/Oneness Controls,Bus Stop,18.4449182,73.8214983,PMPML,OSM
Vitthalwadi Jagat Naka,Bus Stop,18.4910236,73.8331955,PMPML,OSM
Sales Tax Office,Bus Stop,18.5548956,73.8899727,PMPML,OSM
DSK Vishwa Main Gate;DSK VIshwa Main Gate Bus Stop,Bus Stop,18.4471004,73.7997794,PMPML,OSM
Bhosari-Sadguru Nagar Bus Depot,Bus Stop,18.6320904,73.8494433,PMPML,OSM
DIAT,Bus Stop,18.4256584,73.7659054,PMPML,OSM
Bus Stop,Bus Stop,18.4955755,73.8282438,PMC,OSM
Vishal Nagar,Bus Stop,18.58822,73.7841586,PMPML,OSM
Bus Stop,Bus Stop,18.5026904,73.8780126,PMPML,OSM
SNDT,Bus Stop,18.5073892,73.8289997,PMPML,OSM
Kendriya Vidyalaya Bus Stop,Bus Stop,18.5553512,73.8185384,PMPML,OSM
Kendriya Vidyalaya Bus Stop,Bus Stop,18.5528813,73.815989,PMPML,OSM
Bremen Chowk bus stop,Bus Stop,18.5594497,73.8158101,PMPML,OSM
Bremen Chowk bus stop,Bus Stop,18.5598505,73.8152579,PMPML,OSM
MSRTC bus stop,Bus Stop,18.5616389,73.8138495,PMPML,OSM
Bus Stop,Bus Stop,18.4309769,73.7690536,PMPML,OSM
Bus Stop,Bus Stop,18.4993574,73.8525199,PMPML,OSM
Patil Colony / Abhiruchi Mall,Bus Stop,18.463068,73.8150696,PMPL,OSM
Vadgaon BK Bridge,Bus Stop,18.4671456,73.8183264,PMPML,OSM
Bus Stop,Bus Stop,18.477733,73.8238539,PMPML,OSM
Bus Stop,Bus Stop,18.4387878,73.7732243,PMPML,OSM
Bus Stop,Bus Stop,18.5004434,73.8578268,PMPML,OSM
Bus Stop,Bus Stop,18.4752985,73.8161816,PMPML,OSM
Kondhwa Bus Stand,Bus Stop,18.4616911,73.8901174,PMPML,OSM
Kondhwa Bus Stand,Bus Stop,18.4611959,73.890512,PMPML,OSM
Wipro company circle Bus Stop,Bus Stop,18.5968082,73.7177453,Pune Mahanagar Parivahan Mahamandal Ltd,OSM
Wakad Chowk BRTS Stop,Bus Stop,18.5924133,73.7616948,PMPML,OSM
Janak Baba Dargah,Bus Stop,18.5654818,73.9440402,PMPML,OSM
Kaivilas Bhai Burat Bus stop,Bus Stop,18.4914276,73.8220847,PMPML,OSM
Lakshmi Nagar,Bus Stop,18.4923891,73.8498176,PMPML,OSM
sarang society,Bus Stop,18.4899588,73.849857,PMPML,OSM
Bus Stop,Bus Stop,18.555923,73.8092348,PMPML,OSM
Mhasoba Gate,Bus Stop,18.5320926,73.8426659,PMPML,OSM
पुणे सेंट्रल,Bus Stop,18.5348369,73.8386625,PMPML,OSM
Rangehills Corner,Bus Stop,18.5375741,73.835103,PMPML,OSM
Bus Stop,Bus Stop,18.5872076,73.9124955,PMPML,OSM
Bus Stop,Bus Stop,18.5642133,73.7811589,PMPML,OSM
Rajyog Society,Bus Stop,18.5661699,73.7712022,PMPML,OSM
Bus Stop,Bus Stop,18.5639148,73.8074522,PMPML,OSM
Bus Stop,Bus Stop,18.5360173,73.8804387,PMPML,OSM
Bus Stop,Bus Stop,18.5291463,73.8270677,PMPML,OSM
Emcure bus stop,Bus Stop,18.5960293,73.7128372,Pune Mahanagar Parivahan Mahamandal Ltd,OSM
Infosys 2 bus stop,Bus Stop,18.5933129,73.7076507,Pune Mahanagar Parivahan Mahamandal Ltd,OSM
Tata Johnson bus stop,Bus Stop,18.5945319,73.7280769,Pune Mahanagar Parivahan Mahamandal Ltd,OSM
शिवाजी चौक,Bus Stop,18.5936535,73.7368768,Pune Mahanagar Parivahan Mahamandal Ltd,OSM
Vishal Nagar,Bus Stop,18.5883312,73.7847443,PMPML,OSM
Hinjawadi Jakat Naka,Bus Stop,18.5909767,73.7469406,Pune Mahanagar Parivahan Mahamandal Ltd,OSM
Savtamali Mandir bus stop,Bus Stop,18.5920773,73.7546921,Pune Mahanagar Parivahan Mahamandal Ltd,OSM
Wakad Phata bus stop,Bus Stop,18.5877403,73.7893839,PMPML,OSM
Rakshak Chowk bus stop,Bus Stop,18.5811334,73.7986382,PMPML,OSM
Bus Stop,Bus Stop,18.5302357,73.8300745,PMPML,OSM
Bus Stop,Bus Stop,18.5861947,73.73328,PMPML,OSM
Bus Stop,Bus Stop,18.5903878,73.732812,PMPML,OSM
Bus Stop,Bus Stop,18.5930015,73.7326179,PMPML,OSM
Bus Stop,Bus Stop,18.5936556,73.7324761,PMPML,OSM
Bus Stop,Bus Stop,18.4970748,73.8552546,PMPML,OSM
Raviraj Hotel,Bus Stop,18.5833239,73.8241571,PMPML,OSM
Raviraj Hotel,Bus Stop,18.5834676,73.8242458,PMPML,OSM
Ramkrushna Mangal Karyalay,Bus Stop,18.5860259,73.8215323,PMPML,OSM
Ramkrushna Mangal Karyalay,Bus Stop,18.5855181,73.8218858,PMPML,OSM
Pooja Hospital,Bus Stop,18.5889036,73.8199757,PMPML,OSM
Pooja Hospital,Bus Stop,18.5888228,73.8200867,PMPML,OSM
Suvarna Park,Bus Stop,18.5911932,73.8195868,PMPML,OSM
Suvarna Park,Bus Stop,18.5912745,73.8195063,PMPML,OSM
Navin Manapa School,Bus Stop,18.5920042,73.818732,PMPML,OSM
Pimple Gurav,Bus Stop,18.5930134,73.81885,PMPML,OSM
Pimple Gurav,Bus Stop,18.5931278,73.8185818,PMPML,OSM
Pulgate,Bus Stop,18.5060341,73.8821368,PMPML,OSM
Aundh Gaon,Bus Stop,18.5665501,73.8120453,PMPML,OSM
Aundh Gaon,Bus Stop,18.565738,73.8120597,PMPML,OSM
Kalewadi Phata,Bus Stop,18.6045974,73.7779335,PMPML,OSM
Magzine Chowk,Bus Stop,18.6330601,73.8750908,PMPML,OSM
Deccan Bus Stop Lane 1,Bus Stop,18.5164368,73.8429948,PMPML,OSM
Deccan Bus Stop Lane 2,Bus Stop,18.5163631,73.8431113,PMPML,OSM
Deccan Bus Stop Lane 3,Bus Stop,18.5163263,73.8431823,PMPML,OSM
Deccan Bus Stop Lane 4,Bus Stop,18.5162657,73.8432985,PMPML,OSM
Deccan Bus Stop Lane 5,Bus Stop,18.5162088,73.8433994,PMPML,OSM
Kothrud Depot,Bus Stop,18.5066916,73.7953169,PMPML,OSM
Pimple Saudagar,Bus Stop,18.6010447,73.8027923,PMPML,OSM
Pimple Saudagar,Bus Stop,18.6007308,73.8030334,PMPML,OSM
Pimple Saudagar,Bus Stop,18.6010592,73.8028423,PMPML,OSM
Magzine Chowk,Bus Stop,18.6339646,73.8747511,PMPML,OSM
Magzine Chowk,Bus Stop,18.6338373,73.8748982,PMPML,OSM
Magzine Chowk,Bus Stop,18.6338535,73.8749404,PMPML,OSM
Magzine Chowk,Bus Stop,18.6330979,73.8743942,PMPML,OSM
Magzine Chowk,Bus Stop,18.6331779,73.87435,PMPML,OSM
Swargate,Bus Stop,18.4986771,73.8578427,PMPML,OSM
Swargate,Bus Stop,18.4994549,73.8580866,PMPML,OSM
Swargate,Bus Stop,18.4994601,73.8581505,PMPML,OSM
Swargate,Bus Stop,18.4989302,73.8585049,PMPML,OSM
Swargate,Bus Stop,18.4989486,73.8584488,PMPML,OSM
Bhosari Gaon,Bus Stop,18.6237985,73.851119,PMPML,OSM
Bhosari Terminal,Bus Stop,18.6245395,73.8514606,PMPML,OSM
Pune University,Bus Stop,18.5436062,73.827077,PMPML,OSM
Pune University,Bus Stop,18.5428839,73.8255849,PMPML,OSM
Pune University,Bus Stop,18.5418672,73.8269998,PMPML,OSM
Pune University,Bus Stop,18.5415734,73.8298906,PMPML,OSM
Pune Railway Station,Bus Stop,18.528552,73.8749691,PMPML,OSM
Pune Railway Station,Bus Stop,18.5285494,73.8748898,PMPML,OSM
Shivajinagar Railway Station,Bus Stop,18.5317393,73.8511513,PMPML,OSM
Shivajinagar Railway Station,Bus Stop,18.5317577,73.8510245,PMPML,OSM
Sutarwadi Bus Stand,Bus Stop,18.5416115,73.7790762,PMPML,OSM
Chinchwade Farm,Bus Stop,18.633338,73.7676895,PMPML,OSM
Akurdi Railway Station,Bus Stop,18.6489881,73.7653526,PMPML,OSM
Akurdi Railway Station,Bus Stop,18.6490357,73.7652694,PMPML,OSM
Shree Khandoba Chowk Akurdi,Bus Stop,18.6497377,73.7853682,PMPML,OSM
Bus Stop,Bus Stop,18.4633074,73.8539771,PMPML,OSM
Mhasoba Gate,Bus Stop,18.532585,73.8423952,PMPML,OSM
Vishrantwadi,Bus Stop,18.5731845,73.8813476,PMPML,OSM
Lohgaon,Bus Stop,18.5958799,73.9247019,PMPML,OSM
Health Centre,Bus Stop,18.5485137,73.828007,PMPML,OSM
University gate,Bus Stop,18.5426929,73.8287098,PMPML,OSM
Girls' Hostel,Bus Stop,18.5514754,73.8281451,PMPML,OSM
Bus Stop,Bus Stop,18.5545058,73.825525,PMPML,OSM
Bus Stop,Bus Stop,18.5557212,73.8224216,PMPML,OSM
Pashan,Bus Stop,18.5381403,73.7977034,PMPML,OSM
Pashan,Bus Stop,18.5376292,73.7958473,PMPML,OSM
Kokate aali,Bus Stop,18.5392669,73.793825,PMPML,OSM
दत्त मंदीर पाषाण रस्ता,Bus Stop,18.5410673,73.7927896,Pune Mahanagar Parivahan Mahamandal Ltd,OSM
दत्त मंदीर पाषाण रस्ता,Bus Stop,18.5413496,73.7927896,Pune Mahanagar Parivahan Mahamandal Ltd,OSM
Balaji Mandir,Bus Stop,18.5421557,73.7911776,PMPML,OSM
Balaji Mandir,Bus Stop,18.541965,73.7910864,PMPML,OSM
Sai Chowk,Bus Stop,18.5433407,73.785714,PMPML,OSM
Panchvati,Bus Stop,18.5392135,73.8095682,PMPML,OSM
Panchvati,Bus Stop,18.5389719,73.8093348,PMPML,OSM
NCL,Bus Stop,18.5396267,73.8119688,PMPML,OSM
SNDT,Bus Stop,18.5074957,73.8289274,PMPML,OSM
Maharashtra Housing Board Bus Stop,Bus Stop,18.5617384,73.8966809,PMPML,OSM
Nagpurchawl Bus Stop,Bus Stop,18.5632318,73.8931842,PMPML,OSM
Baner Depot (D-Mart),Bus Stop,18.5669824,73.7689519,PMPML,OSM
Baner Depot (D-Mart),Bus Stop,18.566697,73.7693194,PMPML,OSM
Mankar chowk,Bus Stop,18.5897385,73.774282,PMPML,OSM
तापकीर चौक,Bus Stop,18.6118232,73.7841624,PMPML,OSM
DSK Vishwa Bus Stand;DSK Vishwa Bus Stop,Bus Stop,18.4432672,73.7990024,PMPML,OSM
C Bhausaheb Chavan Nagar Bus Stop,Bus Stop,18.446917,73.8016884,PMPML,OSM
Kumar Pebble Park Bus Stop,Bus Stop,18.4729949,73.9347951,PMPML,OSM
Umbrya Ganapati Chowk,Bus Stop,18.4474738,73.8102021,PMPML,OSM
Azad Mandal Bus Stop,Bus Stop,18.4506165,73.8109561,PMPML,OSM
Ganesh Nagar Bus Stop,Bus Stop,18.4521205,73.8111919,PMPML,OSM
Raikar Vasti Bus Stop,Bus Stop,18.4538636,73.811509,PMPML,OSM
Raikar Vasti Bus Stop,Bus Stop,18.4540256,73.8117326,PMPML,OSM
Ganesh Nagar Bus Stop,Bus Stop,18.4521976,73.8113585,PMPML,OSM
Sanas School,Bus Stop,18.4605466,73.8126473,PMPML,OSM
Dhayari Phata,Bus Stop,18.4604657,73.812814,PMPML,OSM
Dhayari Ph.,Bus Stop,18.4611636,73.8128384,PMPML,OSM
Sanas Ground,Bus Stop,18.4612807,73.8132052,PMPML,OSM
Patil Colony / Abhiruchi Mall,Bus Stop,18.4641486,73.815433,PMPML,OSM
Vadgaon BK Bridge,Bus Stop,18.4666418,73.8173877,PMPML,OSM
Goyal Ganga PMPML Bus Stop,Bus Stop,18.4705032,73.8203961,PMPML,OSM
Goyal Ganga PMPML Bus Stop,Bus Stop,18.4704685,73.82064,PMPML,OSM
Indian Hume Pipe,Bus Stop,18.4715366,73.8207782,PMPML,OSM
Manikaug,Bus Stop,18.4733258,73.8217783,PMPML,OSM
Anand Nagar,Bus Stop,18.4782576,73.823807,PMPML,OSM
Ranka,Bus Stop,18.4820208,73.826352,PMPML,OSM
Rajaram Bridge,Bus Stop,18.4874651,73.8286246,PMPML,OSM
Rajaram Brdg,Bus Stop,18.4875808,73.8291206,PMPML,OSM
Vitthalvadi,Bus Stop,18.4850441,73.8279864,PMPML,OSM
Patwardhan Baug,Bus Stop,18.4976012,73.8324717,PMPML,OSM
Kalpataru Society,Bus Stop,18.6019249,73.8160938,PMPML,OSM
जगताप डेअरी,Bus Stop,18.5934033,73.7843602,PMPML,OSM
Nashik phata,Bus Stop,18.6109502,73.8236234,PMPML,OSM
Shivar Chowk,Bus Stop,18.596249,73.7891939,PMPML,OSM
Vishwa Shanti Colony,Bus Stop,18.5981366,73.7990888,PMPML,OSM
Govind yashada Chowk,Bus Stop,18.5973287,73.8035777,PMPML,OSM
Shivraj Nagar,Bus Stop,18.5997459,73.7802329,PMPML,OSM
Kalewadi Phata,Bus Stop,18.6026434,73.7766737,PMPML,OSM
Sutardara,Bus Stop,18.5154515,73.8078251,PMPML,OSM
Mangalwar Peth Gadital,Bus Stop,18.5270136,73.864765,PMPML,OSM
Mangalwar Peth Gadital,Bus Stop,18.5270289,73.8645385,PMPML,OSM
Hotel Woodland,Bus Stop,18.5247685,73.8748013,PMPML,OSM
Council Hall,Bus Stop,18.524777,73.8779455,PMPML,OSM
मानकर चौक,Bus Stop,18.5906389,73.7732913,PMPML,OSM
संतोष नगर,Bus Stop,18.6077259,73.7719663,PMPML,OSM
MITCON Bus Stop,Bus Stop,18.5750647,73.7658234,PMPML,OSM
Moze College Bus Stop,Bus Stop,18.5749887,73.7698866,PMPML,OSM
Sai Chawk Bus Stop,Bus Stop,18.5747301,73.770678,PMPML,OSM
Moze college bus stop,Bus Stop,18.5752495,73.7678007,PMPML,OSM
Savitri Phule Udyan,Bus Stop,18.5920188,73.7827318,PMPML,OSM
कस्पटे चौक,Bus Stop,18.5896862,73.7784749,PMPML,OSM
Aundh Hospital,Bus Stop,18.5768883,73.8031734,PMPML,OSM
Rahatani Phata,Bus Stop,18.6073316,73.7803213,PMPML,OSM
Kaspate Vasti Shala,Bus Stop,18.59443,73.7735725,PMPML,OSM
Dhangarbaba Mandir,Bus Stop,18.6109718,73.7832737,PMPML,OSM
Kaspate Vasti Shala,Bus Stop,18.5944711,73.7737076,PMPML,OSM
Kalas,Bus Stop,18.5799648,73.8763899,PMPML,OSM
Anand park,Bus Stop,18.5564699,73.8092899,PMPML,OSM
Chaturshrungi Mandir,Bus Stop,18.5395958,73.8296779,PMPML,OSM
Ma Na Pa Bus Stop,Bus Stop,18.5237519,73.8551732,PMPML,OSM
Bus Stop,Bus Stop,18.526204,73.8529471,PMPML,OSM
Balewadi bus stop,Bus Stop,18.5747416,73.7638583,PMPML,OSM
Hinjawadi MSRTC Bus Stand,Bus Stop,18.5913804,73.7570676,PMPML,OSM
Sant Tukaram Mangal Karyalaya,Bus Stop,18.60442,73.7507956,PMPML,OSM
Shivneri bus stop,Bus Stop,18.6092261,73.7504314,PMPML,OSM
Bhumkar Vasti Bus Stop,Bus Stop,18.6033064,73.749845,PMPML,OSM
Bhumkar Nagar,Bus Stop,18.6030272,73.7494134,PMPML,OSM
Bijli Nagar,Bus Stop,18.6442614,73.7693083,PMPML,OSM
Kolhewadi / CWPRS Main Gate PMPML Bus Stop,Bus Stop,18.4447807,73.7849623,PMPML,OSM
Kolhewadi / CWPRS Main Gate PMPML Bus Stop,Bus Stop,18.4446253,73.7851702,PMPML,OSM
Kirkatwadi PMPML Bus Stop,Bus Stop,18.4463007,73.7888904,PMPML,OSM
Kirkatwadi PMPML Bus Stop,Bus Stop,18.446964,73.7890265,PMPML,OSM
Bharat Jyoti Bus Stop,Bus Stop,18.4717266,73.8635676,PMPML,OSM
Bharat Jyoti Bus Stop,Bus Stop,18.4721812,73.8630277,PMPML,OSM
Bus Stop,Bus Stop,18.5452526,73.7785126,PMPML,OSM
Radha Chowk,Bus Stop,18.5698312,73.7650405,PMPML,OSM
Shivaji Chowk,Bus Stop,18.5913375,73.7391175,PMPML,OSM
Infosys Circle Phase 1,Bus Stop,18.5865002,73.7333108,PMPML,OSM
Chatrapati Shivaji Maharaja Bus Stop,Bus Stop,18.5911235,73.7389027,PMPML,OSM
