localityname_value,buyrates_value_1,buyrates_value_2,buyratesqqa_value,buyratesqqa_image,buyratesqqa_image/_alt,buyrates_value_3,rentalrates_value_1,rentalrates_value_2,rentalrates_value_3,rentalrates_value_4,rentalrates_value_5,rentalrates_value_6
Bibwewadi,Rs.,"5,695 - 6,800/sq. ft.",-7.10%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"7,395 - 8,874",Rs.,"11,543 - 13,192",,-
Bibwewadi Kondhwa Road,Rs.,"4,845 - 5,822/sq. ft.",0.81%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"7,395 - 8,874",Rs.,"10,940 - 13,464",Rs.,"15,300 - 17,850"
Boat Club Road,Rs.,"13,430 - 16,702/sq. ft.",6.93%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,Rs.,"44,179 - 52,360"
Bopodi,Rs.,"5,568 - 6,800/sq. ft.",-,,,Not Available,Rs.,"5,602 - 7,757",,-,,-
Bund Garden,,-,-,,,Not Available,,-,Rs.,"21,505 - 24,310",,-
Camp,Rs.,"7,225 - 8,670/sq. ft.",-0.52%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,,-,,-
Chakan,Rs.,"2,720 - 3,230/sq. ft.",4.55%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"3,896 - 4,870",,-,,-
Chandan Nagar,,-,-,,,Not Available,Rs.,"7,650 - 9,180",Rs.,"12,508 - 15,009",Rs.,"18,778 - 20,120"
Chandni Chowk,Rs.,"2,762 - 2,762/sq. ft.",-,,,Not Available,,-,,-,,-
Chikhali,Rs.,"3,485 - 4,335/sq. ft.",9.52%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"7,395 - 8,874",,-
Chinchwad,Rs.,"4,548 - 5,355/sq. ft.",-8.06%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"6,630 - 8,160",Rs.,"10,710 - 12,240",,-
Chinchwad Gaon,Rs.,"4,718 - 5,482/sq. ft.",0.84%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"6,962 - 7,890",Rs.,"12,308 - 13,077",,-
Chintamani Nagar,Rs.,"4,080 - 4,590/sq. ft.",-,,,See Trends,Rs.,"7,268 - 8,721",Rs.,"10,098 - 10,940",,-
Clover Park,Rs.,"6,502 - 8,372/sq. ft.",7.55%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"10,635 - 13,410",Rs.,"18,513 - 21,290",,-
Dahanukar Colony,Rs.,"8,160 - 10,200/sq. ft.",-10.29%,http://www.99acres.com/images/icons/redDwn.gif,,Not Available,Rs.,"9,818 - 10,752",Rs.,"15,746 - 16,575",,-
Dange Chowk,Rs.,"4,888 - 5,822/sq. ft.",-,,,See Trends,Rs.,"7,140 - 8,670",Rs.,"11,426 - 13,184",,-
Dapodi,Rs.,"5,058 - 5,695/sq. ft.",-,,,See Trends,,-,Rs.,"10,424 - 10,424",,-
Dashrath Nagar,,-,-,,,Not Available,,-,Rs.,"13,342 - 14,175",,-
Dattanagar,Rs.,"4,292 - 4,972/sq. ft.",10.10%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Dattawadi,Rs.,"6,502 - 7,905/sq. ft.",-,,,Not Available,,-,,-,,-
Dhankawadi,Rs.,"4,165 - 5,185/sq. ft.",0%,,,See Trends,Rs.,"6,630 - 7,650",Rs.,"10,710 - 13,005",,-
Dhanori,Rs.,"4,250 - 4,930/sq. ft.",0%,,,See Trends,Rs.,"7,650 - 9,180",Rs.,"11,126 - 12,716",Rs.,"13,229 - 14,332"
Dhayari,Rs.,"4,165 - 4,760/sq. ft.",0%,,,See Trends,,-,Rs.,"7,327 - 9,525",,-
Dhayari Phata,Rs.,"4,080 - 4,675/sq. ft.",-9.82%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"7,225 - 9,392",,-
Dhole Patil Road,,-,-,,,Not Available,Rs.,"11,730 - 15,300",,-,,-
Digambar Nagar,,-,-,,,Not Available,,-,Rs.,"16,667 - 19,298",,-
Dighi,Rs.,"3,655 - 4,208/sq. ft.",1.10%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"5,657 - 7,200",Rs.,"9,006 - 9,698",,-
Eknath Pathare Vasti,,-,-,,,Not Available,,-,Rs.,"12,650 - 15,360",Rs.,"14,280 - 19,040"
Eon Free Zone,Rs.,"5,482 - 6,120/sq. ft.",0.74%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"10,264 - 11,730",Rs.,"14,960 - 16,830",Rs.,"19,271 - 22,236"
Erandwane,Rs.,"9,945 - 11,772/sq. ft.",4.84%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"9,588 - 11,985",Rs.,"15,342 - 17,765",Rs.,"24,650 - 29,580"
Fatima Nagar,Rs.,"5,610 - 6,418/sq. ft.",2.99%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"7,480 - 9,818",Rs.,"11,507 - 14,795",,-
F C Road,,-,-,,,Not Available,,-,Rs.,"18,700 - 22,100",,-
Fursungi Gaon,Rs.,"3,740 - 3,910/sq. ft.",2.25%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Gadital,,-,-,,,Not Available,Rs.,"6,745 - 8,993",,-,,-
Ghorpadi,,-,-,,,Not Available,,-,Rs.,"13,627 - 15,331",Rs.,"20,923 - 26,502"
Gokul Nagar,Rs.,"4,250 - 4,718/sq. ft.",-8.77%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"6,520 - 8,526",,-,,-
Hadapsar,Rs.,"4,505 - 5,822/sq. ft.",7.89%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"7,191 - 9,588",Rs.,"11,638 - 14,963",Rs.,"17,612 - 22,644"
Hadapsar Gaon,Rs.,"4,972 - 5,525/sq. ft.",0%,,,See Trends,Rs.,"7,888 - 9,367",Rs.,"10,914 - 13,097",,-
Handewadi,Rs.,"3,612 - 4,038/sq. ft.",0%,,,See Trends,,-,,-,,-
Hingne Khurd,Rs.,"4,420 - 5,312/sq. ft.",-10%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"5,763 - 7,204",,-,,-
Hinjewadi,Rs.,"4,802 - 5,312/sq. ft.",-3.28%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"11,304 - 13,913",Rs.,"15,025 - 17,529"
Hinjewadi Phase 1,Rs.,"5,185 - 6,332/sq. ft.",9.92%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Hinjewadi Phase 2,Rs.,"4,675 - 5,142/sq. ft.",0.89%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"13,094 - 16,586",,-
Indrayani Nagar,,-,-,,,Not Available,,-,Rs.,"9,180 - 9,945",,-
Ingawale Nagar,Rs.,"6,418 - 7,012/sq. ft.",-,,,Not Available,,-,,-,Rs.,"31,559 - 42,078"
Jadhav Wadi,Rs.,"3,570 - 4,590/sq. ft.",-,,,Not Available,Rs.,"5,253 - 6,304",Rs.,"7,148 - 7,863",Rs.,"9,325 - 10,362"
Jai Bhavani Nagar,,-,-,,,Not Available,,-,Rs.,"12,376 - 15,470",,-
Jijai Nagar,,-,-,,,Not Available,,-,Rs.,"11,475 - 13,770",,-
Kad Nagar,Rs.,"4,462 - 5,142/sq. ft.",-,,,See Trends,,-,Rs.,"8,415 - 10,940",Rs.,"13,146 - 15,536"
Kalas,Rs.,"4,718 - 5,312/sq. ft.",-,,,See Trends,Rs.,"8,160 - 10,200",Rs.,"11,615 - 13,164",,-
Kalewadi,Rs.,"4,505 - 5,228/sq. ft.",-0.88%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"12,118 - 12,875",,-
Kalewadi Phata,,-,-,,,Not Available,,-,Rs.,"11,326 - 13,069",,-
Kalyani Nagar,Rs.,"7,692 - 9,308/sq. ft.",0%,,,See Trends,Rs.,"12,750 - 15,300",Rs.,"20,135 - 23,970",Rs.,"29,363 - 36,354"
Kalyani Nagar Annexe,,-,-,,,Not Available,,-,Rs.,"16,812 - 19,467",,-
Karpe Nagar,,-,-,,,Not Available,,-,Rs.,"12,608 - 13,578",,-
