localityname_value,buyrates_value_1,buyrates_value_2,buyratesqqa_value,buyratesqqa_image,buyratesqqa_image/_alt,buyrates_value_3,rentalrates_value_1,rentalrates_value_2,rentalrates_value_3,rentalrates_value_4,rentalrates_value_5,rentalrates_value_6
Pimple Nilakh,Rs.,"6,162 - 6,715/sq. ft.",2.04%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"7,153 - 8,583",Rs.,"11,921 - 13,511",,-
Pimple Saudagar,Rs.,"5,738 - 6,205/sq. ft.",0%,,,See Trends,Rs.,"10,013 - 11,594",Rs.,"12,750 - 14,450",Rs.,"16,660 - 17,850"
Pimpri,Rs.,"5,185 - 6,035/sq. ft.",3.85%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"12,750 - 13,600",,-
Pimpri Chinchwad,Rs.,"4,505 - 5,058/sq. ft.",1.80%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"10,016 - 12,520",Rs.,"14,221 - 17,503"
Pingale Wasti,Rs.,"6,248 - 7,225/sq. ft.",-,,,Not Available,,-,,-,,-
Pirangut,,-,-,,,Not Available,Rs.,"4,177 - 5,569",Rs.,"6,732 - 7,405",,-
Pisoli,Rs.,"3,570 - 3,910/sq. ft.",-4.40%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"5,967 - 6,464",Rs.,"7,973 - 9,568",,-
Prabhat Road,Rs.,"12,835 - 13,940/sq. ft.",-0.31%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"22,032 - 22,950",Rs.,"29,325 - 31,875"
Pradhikaran,Rs.,"4,802 - 5,652/sq. ft.",5.83%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"9,890 - 11,411",,-
Pratik Nagar,,-,-,,,Not Available,Rs.,"8,078 - 9,088",,-,,-
Punawale,Rs.,"4,208 - 4,632/sq. ft.",-0.95%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"8,406 - 9,247",,-
Pune-Satara Road,,-,-,,,Not Available,Rs.,"7,948 - 9,350",Rs.,"11,475 - 13,770",,-
Pune Mumbai Highway,Rs.,"4,930 - 6,120/sq. ft.",-0.76%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,,-,,-
Raghavendra Nagar,Rs.,"5,185 - 6,205/sq. ft.",-,,,Not Available,,-,Rs.,"13,388 - 14,280",,-
Rahatani,Rs.,"4,930 - 5,568/sq. ft.",0%,,,See Trends,Rs.,"8,160 - 10,200",Rs.,"11,733 - 14,248",Rs.,"18,488 - 19,720"
Rajaram Patil Nagar,,-,-,,,Not Available,,-,Rs.,"14,596 - 17,029",,-
Rajgurunagar,Rs.,"2,338 - 2,592/sq. ft.",0%,,,See Trends,,-,,-,,-
Rakshak Nagar,Rs.,"4,930 - 5,398/sq. ft.",-,,,Not Available,,-,Rs.,"12,390 - 15,487",Rs.,"19,683 - 22,494"
Rambaug Colony,Rs.,"9,138 - 10,498/sq. ft.",3.57%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Ram Nagar,Rs.,"6,375 - 6,842/sq. ft.",-,,,Not Available,Rs.,"8,882 - 10,285",Rs.,"12,112 - 12,920",,-
Ravet,Rs.,"4,335 - 5,015/sq. ft.",0.91%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"6,553 - 7,561",Rs.,"9,129 - 10,650",,-
Sadashiv Peth,Rs.,"7,905 - 9,350/sq. ft.",6.15%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Sahakar Nagar,,-,-,,,Not Available,,-,Rs.,"13,770 - 15,300",,-
Sai Colony,Rs.,"4,632 - 5,398/sq. ft.",-,,,Not Available,,-,Rs.,"10,000 - 12,308",,-
Sainath Nagar,Rs.,"5,312 - 6,545/sq. ft.",-2.11%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"14,008 - 14,884",,-
Sainik Nagar,,-,-,,,Not Available,Rs.,"13,260 - 14,790",,-,,-
Sainikwadi,,-,-,,,Not Available,,-,Rs.,"18,360 - 19,380",,-
Sakore Nagar,Rs.,"6,588 - 7,352/sq. ft.",2.55%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"11,730 - 13,770",Rs.,"16,065 - 18,742",,-
Salisbury Park,Rs.,"7,990 - 10,710/sq. ft.",0%,,,See Trends,,-,,-,,-
Salunke Vihar,Rs.,"5,440 - 5,992/sq. ft.",-4.32%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"9,180 - 10,710",Rs.,"11,240 - 14,987",Rs.,"14,960 - 19,040"
Samarth Colony,Rs.,"7,182 - 8,585/sq. ft.",-,,,See Trends,,-,,-,Rs.,"14,739 - 18,424"
Sanaswadi,Rs.,"2,890 - 3,358/sq. ft.",0%,,,Not Available,,-,Rs.,"4,209 - 4,735",,-
Sanewadi,,-,-,,,Not Available,Rs.,"11,220 - 12,622",Rs.,"15,407 - 17,840",,-
Sangamvadi,Rs.,"14,408 - 17,085/sq. ft.",-4.39%,http://www.99acres.com/images/icons/redDwn.gif,,Not Available,,-,,-,,-
Santosh Nagar,,-,-,,,Not Available,,-,Rs.,"11,271 - 13,005",,-
Sasane Nagar,Rs.,"4,378 - 4,802/sq. ft.",2.86%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"6,795 - 7,766",Rs.,"9,425 - 10,210",Rs.,"11,220 - 13,260"
Satar Nagar,Rs.,"3,910 - 4,250/sq. ft.",-8.49%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"5,315 - 6,950",Rs.,"9,364 - 10,144",Rs.,"10,982 - 12,080"
Satav Nagar,Rs.,"4,122 - 4,632/sq. ft.",-,,,Not Available,,-,Rs.,"8,322 - 9,834",,-
Sector-6 Moshi,Rs.,"4,675 - 4,675/sq. ft.",0%,,,See Trends,,-,Rs.,"10,133 - 12,471",,-
Sector-29 Ravet,,-,-,,,Not Available,,-,Rs.,"10,506 - 11,907",,-
Senapati Bapat Road,,-,-,,,Not Available,Rs.,"11,900 - 14,280",Rs.,"18,700 - 21,250",,-
Shankar Kalat Nagar,Rs.,"5,142 - 5,652/sq. ft.",-3.05%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"9,532 - 10,591",Rs.,"13,324 - 14,212",Rs.,"15,857 - 17,076"
Shanti Nagar,,-,-,,,Not Available,,-,Rs.,"13,532 - 16,069",Rs.,"20,672 - 22,848"
Shastri Nagar,Rs.,"6,460 - 7,225/sq. ft.",-4.27%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"11,220 - 13,260",Rs.,"16,312 - 18,887",,-
Shewalewadi,Rs.,"4,420 - 5,058/sq. ft.",1.83%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"8,415 - 9,945",,-
Shikrapur,Rs.,"2,975 - 3,145/sq. ft.",9.09%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Shinde Vasti,Rs.,"5,270 - 6,332/sq. ft.",-,,,Not Available,,-,,-,,-
Shirgaon,Rs.,"3,188 - 3,272/sq. ft.",-,,,Not Available,,-,,-,,-
Shivaji Nagar,,-,-,,,Not Available,,-,Rs.,"19,589 - 21,292",,-
Shivane,Rs.,"3,272 - 4,208/sq. ft.",6.02%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"4,548 - 5,457",Rs.,"6,426 - 7,854",,-
Shiv Nagar,,-,-,,,Not Available,Rs.,"6,321 - 7,293",,-,,-
Shree Datta Colony,,-,-,,,Not Available,,-,Rs.,"15,635 - 17,474",,-
Shukravar Peth,Rs.,"5,865 - 6,800/sq. ft.",-,,,Not Available,,-,,-,,-
Siddartha Nagar,Rs.,"4,845 - 5,398/sq. ft.",1.71%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"9,399 - 9,894",Rs.,"11,781 - 12,566",Rs.,"11,762 - 13,901"
Siddharth Nagar,,-,-,,,Not Available,,-,Rs.,"12,879 - 14,489",,-
Siddheshwar Nagar,,-,-,,,Not Available,Rs.,"9,180 - 10,098",Rs.,"12,390 - 14,713",,-
Siddhi Nagar,,-,-,,,Not Available,,-,Rs.,"12,335 - 15,419",,-
Sinhgad Road,Rs.,"4,462 - 5,568/sq. ft.",-5.69%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"5,671 - 7,089",Rs.,"8,331 - 10,603",,-
Somatane,Rs.,"3,528 - 3,910/sq. ft.",0%,,,See Trends,,-,,-,,-
Somatne Phata,Rs.,"3,102 - 3,230/sq. ft.",2.74%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Someshwarwadi,,-,-,,,Not Available,,-,Rs.,"13,164 - 16,261",Rs.,"22,950 - 25,500"
Somnath Nagar,,-,-,,,Not Available,Rs.,"7,956 - 8,453",,-,,-
Sopan Baug,Rs.,"8,245 - 9,902/sq. ft.",2.43%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Sus,Rs.,"4,675 - 5,100/sq. ft.",-2.56%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"9,163 - 11,662",Rs.,"11,900 - 14,280"
Sutarwadi,Rs.,"5,270 - 6,290/sq. ft.",-,,,Not Available,,-,,-,,-
Swatantrya Sainik Nagar,Rs.,"6,545 - 7,012/sq. ft.",-,,,Not Available,Rs.,"11,485 - 12,442",Rs.,"14,688 - 17,136",Rs.,"18,360 - 20,655"
Talegaon,,-,-,,,Not Available,Rs.,"4,009 - 4,899",Rs.,"5,998 - 7,330",,-
Talegaon Dabhade,Rs.,"3,315 - 3,655/sq. ft.",9.46%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"3,910 - 4,888",Rs.,"5,467 - 6,834",,-
Tathawade,Rs.,"4,888 - 5,185/sq. ft.",0.85%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"8,699 - 9,211",Rs.,"10,608 - 12,376",Rs.,"13,879 - 14,946"
Thergaon,Rs.,"5,058 - 5,568/sq. ft.",1.61%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"8,527 - 10,126",Rs.,"11,900 - 12,750",Rs.,"13,997 - 15,269"
Thite Nagar,Rs.,"5,270 - 5,652/sq. ft.",-,,,See Trends,Rs.,"9,060 - 10,014",Rs.,"13,709 - 15,994",,-
Tilekar Nagar,Rs.,"4,335 - 4,845/sq. ft.",-,,,Not Available,Rs.,"5,978 - 7,358",Rs.,"7,174 - 9,326",,-
Tingre Nagar,Rs.,"4,335 - 5,312/sq. ft.",5.61%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Tukai Nagar,Rs.,"4,378 - 4,972/sq. ft.",-,,,Not Available,Rs.,"6,545 - 7,012",Rs.,"7,948 - 8,670",,-
Tukaram Nagar,Rs.,"5,482 - 5,865/sq. ft.",1.54%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"14,674 - 16,509",Rs.,"22,788 - 25,469"
Tulaja Bhawani Nagar,Rs.,"5,142 - 5,652/sq. ft.",-0.78%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"9,932 - 10,978",Rs.,"13,273 - 15,927",Rs.,"15,470 - 17,850"
Ubale Nagar,Rs.,"4,590 - 5,312/sq. ft.",-3.39%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"6,688 - 7,643",Rs.,"9,713 - 11,207",,-
Uday Baug,Rs.,"6,162 - 6,758/sq. ft.",0.69%,http://www.99acres.com/images/icons/greenUp.gif,,Not Available,,-,,-,,-
Udyog Nagar,,-,-,,,Not Available,,-,,-,Rs.,"16,498 - 19,798"
Undri,Rs.,"3,825 - 4,165/sq. ft.",-1.05%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"6,120 - 6,630",Rs.,"8,075 - 9,690",Rs.,"11,926 - 14,311"
Uttam Nagar,Rs.,"4,548 - 5,568/sq. ft.",-,,,Not Available,,-,Rs.,"12,495 - 13,328",,-
Vadgaon Budruk,Rs.,"4,165 - 5,100/sq. ft.",-1.80%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"8,116 - 10,329",,-
Vadgaon Sheri,Rs.,"5,142 - 5,992/sq. ft.",8.06%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"7,956 - 9,945",Rs.,"14,960 - 16,830",Rs.,"16,660 - 22,610"
Vallabh Nagar,Rs.,"5,865 - 6,502/sq. ft.",-,,,Not Available,,-,Rs.,"13,586 - 14,436",,-
Veerbhadra Nagar,Rs.,"6,460 - 7,395/sq. ft.",0.62%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"13,808 - 17,490",Rs.,"18,551 - 21,025"
Vikas Nagar,Rs.,"3,825 - 4,802/sq. ft.",-,,,Not Available,,-,,-,,-
Viman Nagar,Rs.,"6,248 - 7,225/sq. ft.",-2.48%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"12,240 - 13,770",Rs.,"18,700 - 21,505",Rs.,"25,500 - 30,600"
Vishal Nagar,,-,-,,,Not Available,Rs.,"7,242 - 9,173",Rs.,"11,900 - 13,600",,-
Vishnu Dev Nagar,Rs.,"5,228 - 5,568/sq. ft.",-2.33%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"9,031 - 10,094",Rs.,"12,852 - 14,688",,-
Vishrantwadi,Rs.,"4,718 - 5,652/sq. ft.",-3.91%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"8,381 - 9,860",Rs.,"12,495 - 14,161",Rs.,"16,327 - 19,825"
Vitthal Nagar,Rs.,"5,610 - 6,078/sq. ft.",-2.82%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"16,592 - 18,666",Rs.,"22,491 - 24,098"
Vivek Nagar,,-,-,,,Not Available,,-,Rs.,"11,444 - 12,118",,-
Wadebolai,Rs.,"2,635 - 2,805/sq. ft.",-4.35%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,,-,,-
Wadeshwar Nagar,,-,-,,,Not Available,Rs.,"9,588 - 11,026",,-,,-
Wadgaon Budruk,,-,-,,,Not Available,Rs.,"5,916 - 6,409",Rs.,"9,690 - 10,498",,-
Wadgaon Sheri,Rs.,"4,930 - 5,695/sq. ft.",-6.82%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"8,133 - 9,149",Rs.,"12,878 - 14,594",,-
Wagholi,Rs.,"3,655 - 4,165/sq. ft.",-4.21%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"5,498 - 6,497",Rs.,"7,642 - 9,170",Rs.,"11,674 - 14,268"
Wakad,Rs.,"5,142 - 5,738/sq. ft.",0.79%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"8,887 - 10,455",Rs.,"12,436 - 14,212",Rs.,"16,078 - 18,551"
Wakadkar Wasti,,-,-,,,Not Available,Rs.,"10,067 - 10,067",Rs.,"12,240 - 13,770",,-
Wanowrie,Rs.,"5,738 - 6,715/sq. ft.",-4%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"8,522 - 9,942",Rs.,"13,451 - 15,245",Rs.,"19,040 - 21,760"
Wanwadi,Rs.,"5,525 - 6,928/sq. ft.",2.11%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"9,031 - 11,156",Rs.,"13,821 - 15,664",Rs.,"19,125 - 24,225"
Warje,Rs.,"5,440 - 6,205/sq. ft.",-1.45%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"6,575 - 8,598",Rs.,"10,498 - 12,920",,-
Wireless Colony,,-,-,,,Not Available,Rs.,"9,907 - 12,737",Rs.,"13,973 - 16,439",,-
Yashwant Nagar,Rs.,"3,145 - 3,825/sq. ft.",-,,,Not Available,,-,Rs.,"11,356 - 11,356",,-
Yerwada,Rs.,"5,865 - 6,842/sq. ft.",2.13%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"9,571 - 11,964",Rs.,"15,300 - 17,850",Rs.,"18,360 - 20,655"
Yewalewadi,Rs.,"3,825 - 4,080/sq. ft.",15%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"5,160 - 6,191",Rs.,"7,650 - 8,415",,-
