place_id,name,types,main_category
ChIJQVNWHuPAwjsR59WgPQCTwBc,Prince Uniforms | Uniforms Sports Wear,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJMR2_IOTAwjsRbqPgm3Zaxmg,Laxmi Provision Stores,"store, point_of_interest, food, establishment",retail_general
ChIJwTLUOuHAwjsRxvqgl5Yls7Q,Shree veriety & Gift,"jewelry_store, store, point_of_interest, establishment",retail_general
ChIJGaTlTR7BwjsRoKWODS5Z3r8,Akash Mini Market,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJm2lavybBwjsROT0VfGu3iG4,Om Sai Book Depot,"book_store, store, point_of_interest, establishment",retail_general
ChIJR-xKleXAwjsRkZMxddsLqK8,Satish Provision Store,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJBQB3As3BwjsRQH2XmyLAzw4,MedPlus Shastrinagar,"pharmacy, drugstore, store, health, point_of_interest, food, establishment",retail_general
ChIJr2SIwM_AwjsR01j6_eRB8fY,Sagar Super shoppe,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJn6yJNhvBwjsRAMIAf7Xw_Co,Narayan Sweets (mithaiwala),"store, point_of_interest, food, establishment",retail_general
ChIJg5GSDz_BwjsR3HTtG4ZKWvw,Bombay cut piece,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJC8A4puPAwjsR6uqDhAZbOFE,New Kalpana General Store,"store, point_of_interest, food, establishment",retail_general
ChIJl9eXuybBwjsRhnw8epcA3VM,Sai Collection,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJrURSvz_BwjsRA15-PIB7nl8,SHREERAM GENERAL STORE | Unregistered,"store, point_of_interest, food, establishment",retail_general
ChIJOZ7T5eLAwjsRRM_w7jIHvac,MAHAVIR CORNER,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJOXhRyTjBwjsReI-r5-L0hDI,Aai Mata Provision Store,"grocery_or_supermarket, supermarket, store, point_of_interest, food, establishment",retail_general
ChIJXwlj5uLAwjsRUXn1S1OKuRM,Saurabh Provision Stores,"store, point_of_interest, food, establishment",retail_general
ChIJ9ViqwSbBwjsRw16uNupgyFw,Sainath General Store,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJz8ZYuObAwjsRuwNP9drGA3s,Durgamata Provision Stores,"store, point_of_interest, food, establishment",retail_general
ChIJsXPl2czBwjsRd_lazO_M0RI,Mahesh General Store,"store, point_of_interest, food, establishment",retail_general
ChIJf2OxahfBwjsRD5JgfQhZ8ss,Gayatri Stationery And Gift Shopee,"store, point_of_interest, establishment",retail_general
ChIJLzPAiAPBwjsRss4Ln37wIbc,pravin dept stores,"store, point_of_interest, food, establishment",retail_general
ChIJy2LGsuPAwjsR_8CE01leyoE,M B AGARWAL WINE SHOP,"liquor_store, store, point_of_interest, establishment",retail_general
ChIJ6X-kCOfAwjsRn87NdFsDHPo,Bhavani Super Market,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJEXRZie7AwjsR8GDPBhrRZuw,Bharat General & Provision Stores,"store, point_of_interest, food, establishment",retail_general
