locality,zone,tier,latitude,longitude,avg_rent_per_sqft,median_rent_per_sqft,commercial_rent_per_sqft,avg_rent,median_rent,min_rent,max_rent,avg_area_sqft,median_area_sqft,sample_size,confidence,avg_bedrooms,avg_bathrooms,data_source,last_updated
Shikshaknagar,Pune,Grade B,18.5204,73.8567,20.87,20.87,24.0,12000.0,12000.0,12000.0,12000.0,575.0,575.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Shinde Vasti,Pune,Grade B,18.5204,73.8567,20.99,17.95,24.14,15000.0,14000.0,13000.0,18000.0,726.67,750.0,3,Low,1.7,1.7,Real Property Listings,2026-02-07
Shindenagar,Pune,Grade B,18.5204,73.8567,23.19,23.17,26.67,17000.0,18000.0,14000.0,20000.0,752.0,820.0,5,Medium,1.6,1.8,Real Property Listings,2026-02-07
Shiraswadi,Pune,Grade C,18.5204,73.8567,7.54,7.54,8.67,3500.0,3500.0,3500.0,3500.0,464.0,464.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Shirgaon,Pune,Grade B,18.5204,73.8567,15.88,15.88,18.26,10500.0,10500.0,9000.0,12000.0,666.0,666.0,2,Low,2.0,2.0,Real Property Listings,2026-02-07
Shiv colony,Pune,Grade B,18.5204,73.8567,16.03,16.03,18.44,5500.0,5500.0,5500.0,5500.0,343.0,343.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Shivaji Nagar,Pune,Grade A,18.5204,73.8567,31.29,31.67,35.98,21833.33,18000.0,15000.0,35000.0,709.17,702.5,6,Medium,1.5,1.3,Real Property Listings,2026-02-07
Shivane,Pune,Grade C,18.5204,73.8567,12.42,11.68,14.28,8555.56,9000.0,6000.0,12000.0,746.56,707.0,9,Medium,1.7,1.6,Real Property Listings,2026-02-07
Shivneri Nagar,Pune,Grade B,18.5204,73.8567,18.42,18.42,21.18,9750.0,9750.0,6500.0,13000.0,550.0,550.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
Shivtirth Nagar,Pune,Grade B,18.5204,73.8567,24.6,25.45,28.29,17166.67,17500.0,14000.0,20000.0,706.67,670.0,3,Low,1.3,1.7,Real Property Listings,2026-02-07
Shramasafalya colony,Pune,Grade B,18.5204,73.8567,17.0,17.0,19.55,8500.0,8500.0,8500.0,8500.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Shukravar Peth,Pune,Grade A,18.5204,73.8567,29.47,29.47,33.89,14000.0,14000.0,14000.0,14000.0,475.0,475.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Siddharth Nagar,Pune,Grade B,18.5204,73.8567,24.36,22.22,28.01,21800.0,18000.0,15000.0,35000.0,880.6,843.0,5,Medium,2.0,2.2,Real Property Listings,2026-02-07
Sinhagad Road,Pune,Grade B,18.5204,73.8567,19.19,19.19,22.07,17000.0,17000.0,17000.0,17000.0,886.0,886.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Sinhgad Rd,Pune,Grade B,18.5204,73.8567,16.07,16.07,18.48,9000.0,9000.0,9000.0,9000.0,560.0,560.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Sinhgad Road,Pune,Grade B,18.5204,73.8567,17.75,16.67,20.41,14662.5,13500.0,8100.0,25000.0,852.06,789.0,16,High,1.9,1.8,Real Property Listings,2026-02-07
Sinhgad Road anandnagar,Pune,Grade B,18.5204,73.8567,21.54,21.54,24.77,14000.0,14000.0,14000.0,14000.0,650.0,650.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Somatane,Pune,Grade C,18.5204,73.8567,11.9,11.9,13.69,7200.0,7200.0,7200.0,7200.0,605.0,605.0,1,Low,1.0,2.0,Real Property Listings,2026-02-07
Someshwarwadi,Pune,Grade B,18.5204,73.8567,21.97,21.24,25.26,23500.0,20500.0,20000.0,33000.0,1057.5,990.0,4,Low,2.2,2.2,Real Property Listings,2026-02-07
Somnath Nagar,Pune,Grade B,18.5204,73.8567,23.0,23.0,26.45,14500.0,14500.0,13000.0,16000.0,635.0,635.0,2,Low,1.5,1.0,Real Property Listings,2026-02-07
Somwar Peth,Pune,Grade A,18.5204,73.8567,25.0,25.0,28.75,11250.0,11250.0,10000.0,12500.0,450.0,450.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
Sopan Baug,Pune,Grade C,18.5204,73.8567,6.43,6.43,7.4,24768.74,24768.74,24768.74,24768.74,3850.0,3850.0,1,Low,4.0,6.0,Real Property Listings,2026-02-07
Sopan Nagar,Pune,Grade A,18.5204,73.8567,25.45,25.45,29.27,14000.0,14000.0,14000.0,14000.0,550.0,550.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
St Tukaram Nagar,Pune,Grade B,18.5204,73.8567,15.04,15.04,17.3,13250.0,13250.0,11500.0,15000.0,887.5,887.5,2,Low,2.0,2.0,Real Property Listings,2026-02-07
Subhash nagar,Pune,Grade C,18.5204,73.8567,14.93,14.93,17.16,10000.0,10000.0,10000.0,10000.0,670.0,670.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Sudarshan Nagar,Pune,Grade B,18.5204,73.8567,21.46,21.46,24.68,10250.0,10250.0,10000.0,10500.0,479.0,479.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
Sukhsagar Nagar,Pune,Grade C,18.5204,73.8567,13.53,13.53,15.56,11500.0,11500.0,11500.0,11500.0,850.0,850.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Sunita Nagar,Pune,Grade C,18.5204,73.8567,13.33,13.33,15.33,12000.0,12000.0,12000.0,12000.0,900.0,900.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Sutarwadi,Pune,Grade B,18.5204,73.8567,17.54,17.54,20.18,14000.0,14000.0,11000.0,17000.0,870.0,870.0,2,Low,2.0,1.5,Real Property Listings,2026-02-07
Swami Samarth Nagar,Pune,Grade C,18.5204,73.8567,13.12,13.33,15.09,10000.0,10000.0,8000.0,12000.0,773.33,870.0,3,Low,1.7,1.7,Real Property Listings,2026-02-07
Swami Vivekanand Nagar,Pune,Grade B,18.5204,73.8567,18.38,19.27,21.14,11400.0,10600.0,10600.0,13000.0,630.0,550.0,3,Low,1.0,1.0,Real Property Listings,2026-02-07
Swapnagri colony gurudwara chowck,Pune,Grade B,18.5204,73.8567,16.67,16.67,19.17,10000.0,10000.0,10000.0,10000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Swar Gate,Pune,Grade B,18.5204,73.8567,23.53,23.53,27.06,20000.0,20000.0,20000.0,20000.0,850.0,850.0,1,Low,1.0,2.0,Real Property Listings,2026-02-07
Swatantrya Sainik Nagar,Pune,Grade A,18.5204,73.8567,26.58,26.42,30.57,24000.0,21000.0,21000.0,30000.0,898.33,900.0,3,Low,2.0,2.0,Real Property Listings,2026-02-07
Talawade,Pune,Grade C,18.5204,73.8567,13.43,13.43,15.44,13750.0,13750.0,12500.0,15000.0,1022.5,1022.5,2,Low,2.0,2.0,Real Property Listings,2026-02-07
Talegaon,Pune,Grade C,18.5204,73.8567,12.32,12.33,14.17,9000.0,9250.0,6500.0,11000.0,732.5,772.5,4,Low,1.8,1.8,Real Property Listings,2026-02-07
Talegaon Dabhade,Pune,Grade C,18.5204,73.8567,12.94,12.73,14.88,7666.67,7500.0,7000.0,8500.0,611.67,550.0,3,Low,1.3,1.7,Real Property Listings,2026-02-07
Tanaji Nagar,Pune,Grade B,18.5204,73.8567,20.19,20.19,23.22,12500.0,12500.0,12000.0,13000.0,625.0,625.0,2,Low,1.5,2.0,Real Property Listings,2026-02-07
Tathawade,Pune,Grade B,18.5204,73.8567,21.08,20.45,24.24,15277.67,16000.0,5000.0,22000.0,712.44,765.0,9,Medium,1.9,1.8,Real Property Listings,2026-02-07
Taware Colony,Pune,Grade A,18.5204,73.8567,27.27,27.27,31.36,10500.0,10500.0,10500.0,10500.0,385.0,385.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Thite Nagar,Pune,Grade B,18.5204,73.8567,21.02,21.25,24.18,14500.0,17000.0,5500.0,22500.0,683.14,750.0,7,Medium,1.6,1.6,Real Property Listings,2026-02-07
Tilekar Nagar,Pune,Grade C,18.5204,73.8567,13.33,13.33,15.33,6000.0,6000.0,6000.0,6000.0,450.0,450.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Tingre Nagar,Pune,Grade B,18.5204,73.8567,21.05,20.2,24.21,17466.67,16000.0,7500.0,40000.0,828.33,838.5,18,High,1.8,1.7,Real Property Listings,2026-02-07
Tingrenagar,Pune,Grade B,18.5204,73.8567,18.29,18.29,21.04,15000.0,15000.0,15000.0,15000.0,820.0,820.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Tingret Nagar,Pune,Grade B,18.5204,73.8567,18.37,18.37,21.12,9000.0,9000.0,9000.0,9000.0,490.0,490.0,1,Low,1.0,2.0,Real Property Listings,2026-02-07
Tukai Darshan,Pune,Grade C,18.5204,73.8567,14.17,14.17,16.29,8500.0,8500.0,8500.0,8500.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Tukaram Nagar,Pune,Grade B,18.5204,73.8567,23.6,24.56,27.14,15875.0,15000.0,8500.0,25000.0,678.0,706.0,4,Low,1.5,1.5,Real Property Listings,2026-02-07
Tulaja Bhawani Nagar,Pune,Grade A,18.5204,73.8567,25.62,25.0,29.47,26130.43,24000.0,10000.0,45000.0,1022.0,1000.0,23,High,2.3,2.2,Real Property Listings,2026-02-07
Ubale Nagar,Pune,Grade B,18.5204,73.8567,18.4,18.4,21.17,15000.0,15000.0,15000.0,15000.0,815.0,815.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Ubalenagar,Pune,Grade C,18.5204,73.8567,13.64,13.64,15.68,7500.0,7500.0,7500.0,7500.0,550.0,550.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Uday Baug,Pune,Grade A,18.5204,73.8567,27.41,27.41,31.52,37000.0,37000.0,37000.0,37000.0,1350.0,1350.0,1,Low,3.0,2.0,Real Property Listings,2026-02-07
Udyog Nagar,Pune,Premium,18.5204,73.8567,49.94,67.8,57.43,7666.67,3000.0,3000.0,17000.0,429.49,44.25,3,Low,1.7,1.7,Real Property Listings,2026-02-07
Urban Nest,Pune,Grade A,18.5204,73.8567,28.3,28.3,32.55,15000.0,15000.0,15000.0,15000.0,530.0,530.0,1,Low,1.0,2.0,Real Property Listings,2026-02-07
Uruli Devachi,Pune,Grade C,18.5204,73.8567,13.05,13.05,15.0,7000.0,7000.0,6000.0,8000.0,538.44,538.44,2,Low,1.5,1.0,Real Property Listings,2026-02-07
Uttam Nagar,Pune,Grade B,18.5204,73.8567,19.58,19.58,22.52,14000.0,14000.0,14000.0,14000.0,715.0,715.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Vadagaonsheri,Pune,Grade C,18.5204,73.8567,14.29,14.29,16.43,20000.0,20000.0,20000.0,20000.0,1400.0,1400.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Vadgaon Budruk,Pune,Grade B,18.5204,73.8567,16.04,15.87,18.45,9625.0,8500.0,4500.0,17000.0,593.0,561.0,4,Low,1.5,1.5,Real Property Listings,2026-02-07
Vadgaon Maval,Pune,Grade C,18.5204,73.8567,12.77,12.77,14.68,11750.0,11750.0,5500.0,18000.0,850.0,850.0,2,Low,2.5,2.0,Real Property Listings,2026-02-07
Vadgaon Sheri,Pune,Grade B,18.5204,73.8567,23.39,22.71,26.9,16666.67,13500.0,8000.0,40000.0,681.67,627.5,6,Medium,1.7,1.7,Real Property Listings,2026-02-07
Vadgaon phata,Pune,Grade C,18.5204,73.8567,13.33,13.33,15.33,8000.0,8000.0,8000.0,8000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Vaiduwadi,Pune,Grade B,18.5204,73.8567,23.81,23.81,27.38,20000.0,20000.0,20000.0,20000.0,840.0,840.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Vakil Nagar,Pune,Grade A,18.5204,73.8567,33.33,33.33,38.33,50000.0,50000.0,50000.0,50000.0,1500.0,1500.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
Vallabh Nagar,Pune,Grade B,18.5204,73.8567,18.4,18.4,21.16,23000.0,23000.0,23000.0,23000.0,1250.0,1250.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Veerbhadra Nagar,Pune,Grade A,18.5204,73.8567,32.36,32.36,37.22,50000.0,50000.0,30000.0,70000.0,1515.0,1515.0,2,Low,4.5,3.5,Real Property Listings,2026-02-07
Venu Nagar Cotes,Pune,Grade B,18.5204,73.8567,21.58,21.58,24.82,20500.0,20500.0,20500.0,20500.0,950.0,950.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Vijay Nagar,Pune,Grade B,18.5204,73.8567,22.41,22.41,25.78,6500.0,6500.0,6500.0,6500.0,290.0,290.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Vikas Nagar,Pune,Grade C,18.5204,73.8567,14.16,14.16,16.29,13000.0,13000.0,11000.0,15000.0,914.5,914.5,2,Low,1.5,2.0,Real Property Listings,2026-02-07
Vinayak Nagar,Pune,Grade B,18.5204,73.8567,17.81,17.65,20.49,12333.33,15000.0,7000.0,15000.0,690.0,820.0,3,Low,1.7,1.0,Real Property Listings,2026-02-07
Vishal Nagar,Pune,Grade B,18.5204,73.8567,22.67,21.22,26.07,17333.33,18000.0,11000.0,24000.0,791.67,850.0,6,Medium,1.8,1.8,Real Property Listings,2026-02-07
Vishnu Dev Nagar,Pune,Grade B,18.5204,73.8567,22.96,20.0,26.41,19166.67,14500.0,13000.0,30000.0,966.67,650.0,3,Low,1.7,2.0,Real Property Listings,2026-02-07
Vishnupuram Colony,Pune,Grade B,18.5204,73.8567,16.67,16.67,19.17,10000.0,10000.0,10000.0,10000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Vishrantwadi,Pune,Grade B,18.5204,73.8567,23.7,22.87,27.25,16250.0,16250.0,6500.0,26000.0,689.69,682.5,26,High,1.5,1.5,Real Property Listings,2026-02-07
Vittalvadi,Pune,Grade B,18.5204,73.8567,20.55,20.55,23.63,15000.0,15000.0,15000.0,15000.0,730.0,730.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
WADGAONSHERI,Pune,Grade B,18.5204,73.8567,21.54,21.54,24.77,14000.0,14000.0,14000.0,14000.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadachi Wadi,Pune,Grade C,18.5204,73.8567,12.08,12.08,13.89,10000.0,10000.0,10000.0,10000.0,828.0,828.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wadaon sheri,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,20000.0,20000.0,20000.0,20000.0,1000.0,1000.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wadebolai,Pune,Grade B,18.5204,73.8567,18.0,18.0,20.7,22500.0,22500.0,22500.0,22500.0,1250.0,1250.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
Wadeshwar Nagar,Pune,Grade B,18.5204,73.8567,20.83,20.83,23.96,11000.0,11000.0,10000.0,12000.0,540.0,540.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadgaon Budruk,Pune,Grade C,18.5204,73.8567,11.55,14.29,13.28,7500.0,9000.0,3500.0,10000.0,640.0,620.0,3,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadgaon Sheri,Pune,Grade B,18.5204,73.8567,19.72,18.63,22.68,11321.43,10500.0,6500.0,18000.0,574.0,595.0,14,High,1.0,1.1,Real Property Listings,2026-02-07
Wadgaon Sheri Bus stand,Pune,Grade C,18.5204,73.8567,8.0,8.0,9.2,6000.0,6000.0,6000.0,6000.0,750.0,750.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wadgaonsheri,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,13000.0,13000.0,13000.0,13000.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadki,Pune,Grade C,18.5204,73.8567,10.87,10.87,12.5,4500.0,4500.0,4500.0,4500.0,414.0,414.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadmukhwadi,Pune,Grade C,18.5204,73.8567,12.85,12.85,14.78,11000.0,11000.0,11000.0,11000.0,856.0,856.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wageshwar Nagar,Pune,Grade C,18.5204,73.8567,12.16,12.16,13.99,9000.0,9000.0,9000.0,9000.0,740.0,740.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wagholi,Pune,Grade B,18.5204,73.8567,16.23,15.69,18.66,12520.98,12000.0,5000.0,25000.0,797.9,773.0,159,High,1.9,1.9,Real Property Listings,2026-02-07
Wagholi Kesnand Road,Pune,Grade B,18.5204,73.8567,15.71,15.71,18.07,14000.0,14000.0,14000.0,14000.0,891.0,891.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wakdewadi,Pune,Grade B,18.5204,73.8567,23.33,23.33,26.83,35000.0,35000.0,35000.0,35000.0,1500.0,1500.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
Walhekarwadi,Pune,Grade B,18.5204,73.8567,16.77,16.77,19.29,13000.0,13000.0,13000.0,13000.0,775.0,775.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wanawari,Pune,Grade B,18.5204,73.8567,19.08,19.08,21.94,13000.0,13000.0,7000.0,19000.0,660.0,660.0,2,Low,1.5,1.5,Real Property Listings,2026-02-07
Wanwadi,Pune,Grade B,18.5204,73.8567,23.56,23.16,27.1,23590.91,25000.0,6500.0,30000.0,1002.73,1080.0,11,High,2.2,2.2,Real Property Listings,2026-02-07
Well Wisher Group,Pune,Grade A,18.5204,73.8567,27.21,27.21,31.29,20000.0,20000.0,20000.0,20000.0,735.0,735.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wireless Colony,Pune,Grade A,18.5204,73.8567,26.78,27.1,30.8,22960.0,19250.0,14500.0,60000.0,916.0,690.0,10,High,1.7,1.7,Real Property Listings,2026-02-07
Yamuna Nagar,Pune,Grade B,18.5204,73.8567,15.96,15.96,18.35,11250.0,11250.0,10500.0,12000.0,710.0,710.0,2,Low,1.5,1.0,Real Property Listings,2026-02-07
Yashwant nagar,Pune,Grade B,18.5204,73.8567,19.87,18.33,22.85,11166.67,11000.0,9000.0,13500.0,576.67,600.0,3,Low,1.0,1.0,Real Property Listings,2026-02-07
Yashwantrao Chavan Natya Graha,Pune,Grade B,18.5204,73.8567,24.0,24.0,27.6,12000.0,12000.0,12000.0,12000.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Yerwada,Pune,Grade B,18.5204,73.8567,24.11,22.73,27.72,18269.23,12500.0,5000.0,55000.0,752.69,550.0,13,High,1.7,1.6,Real Property Listings,2026-02-07
Yewalewadi,Pune,Grade A,18.5204,73.8567,26.87,18.37,30.9,10250.0,10250.0,4500.0,20000.0,569.41,612.0,18,High,1.6,1.7,Real Property Listings,2026-02-07
Yojana Nagar,Pune,Grade C,18.5204,73.8567,5.33,5.33,6.13,8000.0,8000.0,8000.0,8000.0,1500.0,1500.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Z corner,Pune,Grade B,18.5204,73.8567,15.08,15.08,17.34,6500.0,6500.0,6500.0,6500.0,431.0,431.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Zenith Complex,Pune,Grade A,18.5204,73.8567,34.38,34.38,39.53,11000.0,11000.0,11000.0,11000.0,320.0,320.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
adwait nagar,Pune,Grade A,18.5204,73.8567,26.32,26.32,30.26,25000.0,25000.0,25000.0,25000.0,950.0,950.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
beside Sundar Sankul Society,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,10000.0,10000.0,10000.0,10000.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
beside Sundar sankul society,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,10000.0,10000.0,10000.0,10000.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
