place_id,name,latitude,longitude,address,types,rating,user_ratings_total,business_status
ChIJ90_FpaHqwjsRSGZtbgzQIlU,Lighthouse Mall,18.4807087,73.8626853,"34, Bibwewadi Kondhwa Road, Pune","shopping_mall, point_of_interest, establishment",3.9,1415,OPERATIONAL
ChIJjX8aWQDBwjsRck2HSNkp69U,Aza Fashion,18.5086907,73.8781247,"470/1, Centre Street, Agarwal Colony, Camp, Pune","shopping_mall, point_of_interest, establishment",5,1,OPERATIONAL
ChIJd-9ORjrBwjsRoyzvfC--Kzs,Maftlal enterprises,18.5094256,73.8655789,"Ganj Peth, Pune","shopping_mall, general_contractor, furniture_store, home_goods_store, store, point_of_interest, establishment",3.6,12,OPERATIONAL
ChIJdZT2blnBwjsRoX9l85VzxV0,Fashion Street Pune,18.5090065,73.8793402,"95, Mahatma Gandhi Road, Camp, Pune","shopping_mall, clothing_store, store, point_of_interest, establishment",3.9,22863,OPERATIONAL
ChIJD6tED_HBwjsRMTFueSAfctk,Lucky Cotton Sale,18.5105405,73.876447,"Jan Mohammad Street, Pune","shopping_mall, point_of_interest, establishment",4,7,OPERATIONAL
ChIJgcdstkfAwjsRPFzyUpf8bUE,Sapkal COMPLEX,18.5109015,73.8755236,"GV6G+966, Agarwal Colony, Sadar Bazaar, Pune","shopping_mall, point_of_interest, establishment",4,3,OPERATIONAL
ChIJteZWD9rBwjsRSywiCeKNLVk,KOHINOOR WATCH HOUSE,18.509849,73.8794544,"New 21, Fashion Street, Camp, Pune","shopping_mall, store, point_of_interest, establishment",4,1,OPERATIONAL
ChIJMbByakjAwjsRiF8Rh3NHfoY,Navkar Stores,18.5106231,73.87865339999999,"near icici bank, 228, Mahatma Gandhi Road, Camp, Pune","shopping_mall, point_of_interest, establishment",4.6,22,OPERATIONAL
ChIJSbwlQADBwjsRpmuIePxK3DM,Krishna febrics & Dewasi telor,18.5079442,73.8597486,"160-165, Shitala Devi Chowk Road, Guruwar Peth, Pune","shopping_mall, point_of_interest, establishment",N/A,0,OPERATIONAL
ChIJ2a-n1yDAwjsRUyK8k8j5Urk,P.S.Enterprises,18.4859807,73.87115,"34,Warehouse Lane, Market Yard, Burhanj Baug-B Colony, Gultekadi, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4.5,8,OPERATIONAL
ChIJMUjYkUHAwjsRHHfKwXDC9Cg,The Mahalaxmi Traders,18.5127273,73.8674047,"1020, Hamal Talim Road, New Nana Peth, Bhawani Peth, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4,5,OPERATIONAL
ChIJrTR2837qwjsRuZid4425wQc,Ratnadeep Super Market,18.48276539999999,73.8923243,"Shop No. 3, Basera Apartment, Salunke Vihar Road, Kondhwa, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4.2,15,CLOSED_TEMPORARILY
ChIJH_EzFkjAwjsRfGI4CNlzXnU,Chandan Mini Market,18.5101831,73.8786789,"217, 218, Mahatma Gandhi Road, Camp, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4.2,120,OPERATIONAL
ChIJ_9XUNMDBwjsR58Zt5kwvtHY,Essentials,18.494241,73.8737202,"Shop no G38, Mantri Estate, opp. seventh day, Adventist church, Salisbury Park, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4.3,96,OPERATIONAL
ChIJHdrP9LjBwjsRkvBAzucNfO0,SHREE LAXMI PROVISION STORE,18.4947811,73.8738408,"Shop No 01, SHREE LAXMI PROVISION STORE, opp. Dr Babasaheb Ambedkar Hospital, Gultekadi, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4,10,OPERATIONAL
ChIJAQAA0CTAwjsR1WQ-5et74YU,Rajshri Super Market,18.496022,73.873515,"434/2, Shankar Rao Lohane Marg, P & T Colony, Gultekadi, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4.8,4,CLOSED_TEMPORARILY
ChIJWZ3utSTAwjsRVuKjR8pwHWU,Lalith Super Market,18.4963508,73.8728697,India,"supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",3.1,8,OPERATIONAL
ChIJ____vyLAwjsRZIdJRfqpRrk,Shree Sagar Super Market,18.4963819,73.87077339999999,"397,398, Yashvantgad Path, Market Yard, Gultekadi, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",3.4,13,OPERATIONAL
ChIJ_cByp87BwjsR-QejhXYoS18,SNEHA JATAN SUPPLIERS,18.4913936,73.8696925,"Shop No 01, opp. Gultekdi Road, Mukund Nagar, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",5,9,OPERATIONAL
ChIJtxNKbsrBwjsRUPmZBZIteMc,Vijay Dhanya Bhandar,18.4910349,73.8695681,"Post Office, 473/21B Vijay Dhanya Bhandar, Girnar Apartment, near Market yard, Gultekadi, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4.6,83,OPERATIONAL
ChIJ1V3IxDzAwjsRZijvROnLyaA,Kanyaha Provision Store,18.4973421,73.86913249999999,"FVW9+WMJ, Gulmohar, B, Gultekadi, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4,1,OPERATIONAL
ChIJg8XEOiHAwjsRIriLW5Mz0TQ,Balaji Grain House,18.4886292,73.8705176,"Katur House, Market Yard Road, Burhanj Baug-B Colony, Salisbury Park, Gultekadi, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",4.3,9,OPERATIONAL
ChIJo4ryGcPBwjsRbgdRhtnOPrE,New Bari And Company,18.4918242,73.8662707,"Shop No. 8, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",N/A,0,OPERATIONAL
ChIJ2wLiJrHBwjsRZi-aaxWTBzg,Akshay's Food Mart,18.4889666,73.8684456,"No-2,Shop No-1, 442, Market Yard Road, Gultekadi, Pune","supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",5,2,OPERATIONAL
