place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,income_sensitivity,visibility_score,shopping_district_score,parking_accessibility,fashion_market_opportunity
ChIJqa99bkHBwjsRnU8KuPMZhi8,"Soch at Phoenix Market City, Pune",18.5625429,73.9163442,4.1,235,82.0,1,19,High,168264,Low,2870,cell_2870,0.0020939045861597,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJE5VfakHBwjsRwp5Z2ivHlVk,Louis Philippe Sport (Casual wear & semiformal),18.5615831,73.9173237,4.1,26,82.0,1,10,Medium,36900,Low,2869,cell_2869,0.0019060139136818,18.55974875615261,73.91784145639899,33,0.0,19277.64775787999,0.0,32.2,East Pune,Grade A,High,Viman Nagar,721.7539600178706,88586,PMC_15,Vadgaon Sheri,PMC,0.0,1,25.58374921185896,1,346.3336585368961,25000.0,3000.0,53.15,Low,7790.5112198479665,0.0012879484820607,0.7427579290313012,0.9750544514462914,0.3683611278547987,3.3473312640740067,19277.64775787999,retail_fashion,753.012048192771,18796.756259734502,32.17679689772762,0.7427579290313012,38.842085556262546
ChIJqbbTLkHBwjsRs_1B8MY68BU,Trends Footwear,18.5620739,73.91667369999999,4.4,588,88.0,1,53,High,209880,Medium,2870,cell_2870,0.002258163820274,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJnyiQakHBwjsRsCSqAECfL60,Nautica,18.562254,73.9166943,3.6,26,72.0,0,10,Medium,77760,Low,2870,cell_2870,0.0020947229720047,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJt319a0HBwjsRCOM06ZcFQUU,JACK&JONES STORE,18.561101,73.9168188,4.2,594,84.0,1,51,High,462672,Medium,2869,cell_2869,0.0016954024693835,18.55974875615261,73.91784145639899,33,0.0,19277.64775787999,0.0,32.2,East Pune,Grade A,High,Viman Nagar,721.7539600178706,88586,PMC_15,Vadgaon Sheri,PMC,0.0,1,25.58374921185896,1,346.3336585368961,25000.0,3000.0,53.15,Low,7790.5112198479665,0.0012879484820607,0.7427579290313012,0.9750544514462914,0.3683611278547987,3.3473312640740067,19277.64775787999,retail_fashion,753.012048192771,18796.756259734502,32.17679689772762,0.7427579290313012,38.842085556262546
ChIJwbRhakHBwjsRuPbFolNQt3A,Levi's Exclusive Store,18.5652136,73.9139017,3.7,166,74.0,0,12,High,95904,Low,2811,cell_2811,0.0013270850721472,18.564006682665436,73.9133498799784,30,0.0,14674.120427757423,189.32631876416335,32.2,East Pune,Grade A,High,Viman Nagar,207.1955776377581,78980,PMC_20,Viman Nagar,PMC,207.1955776377581,1,0.0,1,365.1899981251918,45000.0,5000.0,57.69,Unknown,7692.742051136373,0.0006303359340926,0.7324987740704918,1.0,0.3750937734433608,3.37154416722859,12338.178510171538,retail_fashion,1355.421686746988,14674.120427757423,30.0,0.7324987740704918,41.95350245499181
ChIJSetqHEHBwjsRZiZNF8MExfw,ONLY - Pune - Phoenix Market City,18.562254,73.9166943,4.4,50,88.0,1,10,Medium,95040,Low,2870,cell_2870,0.0020947229720047,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJaX2Da0HBwjsRvUR5GgJatFs,Hush Puppies Store,18.5615489,73.9166886,4.2,195,84.0,1,16,High,145152,Low,2869,cell_2869,0.0021376612799909,18.55974875615261,73.91784145639899,33,0.0,19277.64775787999,0.0,32.2,East Pune,Grade A,High,Viman Nagar,721.7539600178706,88586,PMC_15,Vadgaon Sheri,PMC,0.0,1,25.58374921185896,1,346.3336585368961,25000.0,3000.0,53.15,Low,7790.5112198479665,0.0012879484820607,0.7427579290313012,0.9750544514462914,0.3683611278547987,3.3473312640740067,19277.64775787999,retail_fashion,753.012048192771,18796.756259734502,32.17679689772762,0.7427579290313012,38.842085556262546
ChIJwc5QEEHBwjsR8Cir_aqP9mU,Inc.5,18.5620578,73.9165838,3.4,56,68.0,0,10,Medium,30599,Low,2870,cell_2870,0.0023194489133284,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJf7EGUELBwjsRuTP4ljCVCmY,Tommy Hilfiger,18.562254,73.91669499999999,3.5,22,70.0,0,10,Medium,75600,Low,2870,cell_2870,0.0020943397051375,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJpdQIMUHBwjsRzbtUMexJDO8,Provogue,18.5622173,73.9170753,3.8,22,76.0,0,10,Medium,82080,Low,2870,cell_2870,0.0019465060881156,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJnSZV4jnBwjsRVT01pU5PF90,Poonam Collections,18.5685285,73.9077377,3.6,9,72.0,0,10,Low,77760,Low,2753,cell_2753,0.0011512805027009,18.56826450291265,73.9088583035578,14,0.0,14223.298498863249,796.4433995872547,32.2,East Pune,Grade A,High,Viman Nagar,355.7668769974261,78980,PMC_20,Viman Nagar,PMC,355.7668769974261,1,0.0,1,878.7303780765319,45000.0,5000.0,57.69,Unknown,7652.542831872949,0.0006303359340926,0.5322743548884394,1.0,0.175043760940235,1.573387278040009,7917.476555137306,retail_fashion,1355.421686746988,14223.298498863249,14.0,0.5322743548884394,49.096043839114714
ChIJ8Zpn5znBwjsRMLnX5J1SNGg,Monde Collections,18.568439,73.9079321,4.4,18,88.0,1,10,Low,95040,Low,2753,cell_2753,0.000942497885405,18.56826450291265,73.9088583035578,14,0.0,14223.298498863249,796.4433995872547,32.2,East Pune,Grade A,High,Viman Nagar,355.7668769974261,78980,PMC_20,Viman Nagar,PMC,355.7668769974261,1,0.0,1,878.7303780765319,45000.0,5000.0,57.69,Unknown,7652.542831872949,0.0006303359340926,0.5322743548884394,1.0,0.175043760940235,1.573387278040009,7917.476555137306,retail_fashion,1355.421686746988,14223.298498863249,14.0,0.5322743548884394,49.096043839114714
ChIJr7tBOUHBwjsR443dmbz5FJM,Lifestyle Stores,18.5652443,73.9169387,4.2,1088,84.0,1,93,High,843696,High,2870,cell_2870,0.0015318830838975,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJbbzOEUHBwjsRT3hqIdvYGGQ,Max,18.562053,73.917293,4.1,1329,82.0,1,111,High,983015,High,2870,cell_2870,0.0020292068349006,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJbTGwI0HBwjsRu2jyORs26xk,TRENDS,18.5633935,73.9158203,4.1,3313,82.0,1,279,High,2470824,High,2870,cell_2870,0.0021121236162662,18.564006682665436,73.91784145639899,59,0.0,17540.23447803498,38.85469431826366,32.2,East Pune,Grade A,High,Viman Nagar,252.45435461429423,88586,PMC_15,Vadgaon Sheri,PMC,197.01190678449348,2,0.0,1,503.2998487643612,45000.0,5000.0,57.69,Unknown,8065.874315070006,0.0006303359340926,0.6652032865046524,2.0,0.6585850467707008,5.984622563041406,16884.20389681692,retail_fashion,1355.421686746988,35080.46895606996,118.0,0.6652032865046524,34.78266014294751
ChIJ4e2HHADrwjsRoV99uOYnJT0,MH12 MARKETPLACE,18.5691255,73.9115207,5.0,22,100.0,1,10,Medium,108000,Low,2812,cell_2812,0.0020216862708632,18.56826450291265,73.9133498799784,26,0.0,22715.21955690992,638.0445674023636,32.2,East Pune,Grade A,High,Viman Nagar,0.0,78980,PMC_20,Viman Nagar,PMC,0.0,1,195.93334343470636,1,865.1899981251918,75000.0,8000.0,118.47,High,7999.5557890896,0.0004293276089652,0.5361384100306975,0.8361670033615852,0.3250812703175794,2.9220049449314454,13867.278100334026,retail_fashion,2259.0361445783133,18993.717067601843,21.740342087401217,0.5361384100306975,89.405836950368
ChIJqQ4Mam3BwjsRseZFTay-JVw,Spykar,18.561452,73.9169981,3.4,10,68.0,0,10,Low,73440,Low,2869,cell_2869,0.0019006024359076,18.55974875615261,73.91784145639899,33,0.0,19277.64775787999,0.0,32.2,East Pune,Grade A,High,Viman Nagar,721.7539600178706,88586,PMC_15,Vadgaon Sheri,PMC,0.0,1,25.58374921185896,1,346.3336585368961,25000.0,3000.0,53.15,Low,7790.5112198479665,0.0012879484820607,0.7427579290313012,0.9750544514462914,0.3683611278547987,3.3473312640740067,19277.64775787999,retail_fashion,753.012048192771,18796.756259734502,32.17679689772762,0.7427579290313012,38.842085556262546
