place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,residential_proximity,office_accessibility,transit_access,evening_potential,lunch_potential,food_connectivity
ChIJ0TVf2RWVwjsRNs5X33Aj00Q,Mahabaleshwar Delights,18.4604743,73.8260013,4.9,62,98.0,1,10,Medium,44100,Low,1666,cell_1666,0.0023996252003507,18.46178716507755,73.82800992798704,1,0.0,39977.62885009232,99.50772263136597,20.02,South Pune,Grade B,Medium,Dhankawadi,2298.1111607030034,82537,PMC_32,Narhe,PMC,924.1843477098876,1,67.77679402949346,1,94.04202072657728,45000.0,5000.0,57.69,Unknown,7185.453634248603,0.0006303359340926,0.9140416739531432,0.9365253165188928,0.0119707435028789,0.108064882155246,36359.57076719478,food,0.00013915069252437437,1,0.9140416739531432,0.00013031814636021283,0.9140416739531432,33234.162928264486
ChIJ0ZsoisjqwjsR3K2q5OE3z9Q,Richie Rich,18.4572831,73.8525597,4.3,4647,86.0,1,410,High,1269360,High,1960,cell_1960,0.0021060250840195,18.45752669445625,73.85046781009004,15,0.0,46816.7536113327,457.6019495145201,20.02,South Pune,Grade B,Medium,Dhankawadi,345.3940313439816,76903,PMC_30,Dhankawadi,PMC,0.0,4,0.0,1,450.91260542213496,25000.0,3000.0,46.14,Low,7022.016157010691,0.0008007679692812,0.6892213881545647,4.0,0.1925471419585895,1.7260623914019078,32119.02510622041,food,0.00014238896474725536,4,0.6892213881545647,0.0005695558589890214,2.7568855526182587,22137.119069880548
ChIJQ2Rz-MzqwjsRLKr6VKax52Q,McDonald's,18.4517466,73.8446106,4.4,7787,88.0,1,704,High,2230272,High,1900,cell_1900,0.0020430101689667,18.45326611809182,73.84597623366945,4,0.0,35905.50110632315,0.0,20.02,South Pune,Grade B,Medium,Dhankawadi,896.4158255897321,76903,PMC_30,Dhankawadi,PMC,320.5329064626804,1,184.94474884123323,1,601.1194488630168,45000.0,5000.0,57.69,Unknown,7550.123052021729,0.0006303359340926,0.6245630210226462,0.8439212047463882,0.0513459045222905,0.4602833043738421,35905.50110632315,food,0.0001324306322530741,1,0.6245630210226462,0.00011176101871634018,0.6245630210226462,22425.24824229715
ChIJVUU9eenqwjsRV3TRETpXn1c,Rashmi's Cake Art,18.4516989,73.8358964,5.0,5,100.0,1,10,Low,13500,Low,1782,cell_1782,0.0019128202702689,18.45326611809182,73.83699308082824,8,0.0,43657.10844511096,0.0,20.02,South Pune,Grade B,Medium,Dhankawadi,1549.1235114650244,87814,PMC_33,Ambegaon,PMC,0.0,1,160.04301884304732,2,0.0,25000.0,3000.0,52.69,Low,7748.8370318141215,0.0008007679692812,2.0,0.862036996694602,0.0900758889364289,0.8178788312511501,43657.10844511096,food,0.0001290349714316399,1,2.0,0.00011123291924150462,2.0,87314.21689022191
ChIJJ7z1YUmVwjsRLGKdGYRYuqM,Monginis Cake Shop,18.4618536,73.83612099999999,4.0,174,80.0,1,14,High,15120,Low,1784,cell_1784,0.0008746076662785,18.46178716507755,73.83699308082824,8,0.0,19057.182485349407,474.149650816479,20.02,South Pune,Grade B,Medium,Dhankawadi,1298.1111607030034,87814,PMC_33,Ambegaon,PMC,640.4053371369373,1,218.58613035455343,1,504.2622738881036,45000.0,5000.0,57.69,Unknown,6840.758644970568,0.0006303359340926,0.664777690272904,0.820623159159907,0.0900758889364289,0.8178788312511501,12927.57656917282,food,0.0001461612506215939,1,0.664777690272904,0.00011994330723185531,0.664777690272904,8593.96449248082
ChIJ1zFy10uVwjsR2yDVVoQyNEA,New Poona Bakery & Rohan's cafe,18.4624969,73.8361516,3.8,45,76.0,0,10,Medium,10260,Low,1784,cell_1784,0.0011008240751582,18.46178716507755,73.83699308082824,8,0.0,19057.182485349407,474.149650816479,20.02,South Pune,Grade B,Medium,Dhankawadi,1298.1111607030034,87814,PMC_33,Ambegaon,PMC,640.4053371369373,1,218.58613035455343,1,504.2622738881036,45000.0,5000.0,57.69,Unknown,6840.758644970568,0.0006303359340926,0.664777690272904,0.820623159159907,0.0900758889364289,0.8178788312511501,12927.57656917282,food,0.0001461612506215939,1,0.664777690272904,0.00011994330723185531,0.664777690272904,8593.96449248082
ChIJm5q2jzaVwjsRFBiPE-_33Mw,Amos Kitchen,18.4635169,73.834689,4.4,69,88.0,1,10,Medium,31680,Low,1725,cell_1725,0.0027887487998205,18.46178716507755,73.83250150440765,2,0.0,13941.449343902286,304.947739449238,20.02,South Pune,Grade B,Medium,Dhankawadi,1798.1111607030034,87814,PMC_33,Ambegaon,PMC,663.3211449053817,1,0.0,1,347.0881235008128,45000.0,5000.0,57.69,Unknown,6999.215064606379,0.0006303359340926,0.7423419318709454,1.0,0.0225189722341072,0.2044697078127875,10683.530782455986,food,0.0001428527539183869,1,0.7423419318709454,0.0001428527539183869,0.7423419318709454,7930.83288025109
ChIJR5vqD87qwjsRc-5OjfWwh_Q,Amir Chicken,18.4492532,73.8484508,4.2,10,84.0,1,10,Low,37800,Low,1958,cell_1958,0.0020321704408013,18.449005436005177,73.85046781009004,12,0.0,46437.23144762681,0.0,20.02,South Pune,Grade B,Medium,Dhankawadi,1345.3940313439816,88253,PMC_37,Katraj,PMC,477.6020473742644,3,0.0,1,84.35809932928532,45000.0,5000.0,57.69,Unknown,7965.872669661552,0.0006303359340926,0.9222045748711022,3.0,0.1344492622096736,1.221336753076242,46437.23144762681,food,0.00012551976684754544,3,0.9222045748711022,0.0003765593005426363,2.7666137246133067,42824.627285349656
ChIJeYiANbbqwjsRrwTKXo1sC3s,WS Bakers,18.46162099999999,73.850532,3.2,13,64.0,0,10,Low,8640,Low,1961,cell_1961,0.0001781324718888,18.46178716507755,73.85046781009004,7,0.0,53828.10914679905,581.5369905425388,20.02,South Pune,Grade B,Medium,Dhankawadi,0.0,76903,PMC_30,Dhankawadi,PMC,382.2244507984724,1,152.9733093243558,1,140.65236582327634,45000.0,5000.0,57.69,Unknown,6550.502207463996,0.0006303359340926,0.8766912952293233,0.867322766201762,0.0898553329140084,0.8054957826542236,34035.31467723279,food,0.0001526367493031934,1,0.8766912952293233,0.00013238532762969058,0.8766912952293233,29838.464107920812
ChIJzUI4SrbqwjsRTBD2TSbg3Dg,Monginis Cake Shop,18.4572814,73.8526947,4.2,320,84.0,1,27,High,30618,Low,1960,cell_1960,0.0022403589090507,18.45752669445625,73.85046781009004,15,0.0,46816.7536113327,457.6019495145201,20.02,South Pune,Grade B,Medium,Dhankawadi,345.3940313439816,76903,PMC_30,Dhankawadi,PMC,0.0,4,0.0,1,450.91260542213496,25000.0,3000.0,46.14,Low,7022.016157010691,0.0008007679692812,0.6892213881545647,4.0,0.1925471419585895,1.7260623914019078,32119.02510622041,food,0.00014238896474725536,4,0.6892213881545647,0.0005695558589890214,2.7568855526182587,22137.119069880548
