place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category
ChIJ-U8S1tm-wjsRSEzBUdNrXvo,Yoganjali,18.5588028,73.7910575,4.7,95,94.0,1,10,Medium,42300,Low,1217,cell_1217,0.0013909920868698,18.55974875615261,73.79207731662227,12,0.0,29023.55990525256,0.0,25.92,West Pune,Grade B,Low,Baner Pashan Link Road,1049.912940220907,92640,PMC_2,Baner,PMC,337.4681991459802,1,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,8096.791175814294,0.0006303359340926,1.0,1.0,0.1281503630926954,1.1691348402182389,29023.55990525256,services
ChIJw_9NLdy_wjsRL_N6iLtpjw8,Zeus Fitness Zone,18.486586,73.8153497,4.0,148,80.0,1,12,High,43200,Low,1495,cell_1495,0.0011152135807005,18.487347767027387,73.81453519872525,9,0.0,33346.10204208189,0.0,27.84,Central Pune,Grade B,High,Karve Nagar,647.7695712540299,91381,PMC_5,Karve Nagar,PMC,649.5234909025456,2,0.0,1,633.2201598291753,45000.0,5000.0,57.69,Unknown,5768.486042857425,0.0006303359340926,0.6122873232868946,2.0,0.0974226301945205,0.8877403063690436,33346.10204208189,services
ChIJpcKgSNy_wjsRyz0IOWK7-AU,Tejaswini Health Club (Exclusively for WOMEN),18.4875703,73.8147212,4.1,244,82.0,1,20,High,73800,Low,1495,cell_1495,0.0002900299951833,18.487347767027387,73.81453519872525,9,0.0,33346.10204208189,0.0,27.84,Central Pune,Grade B,High,Karve Nagar,647.7695712540299,91381,PMC_5,Karve Nagar,PMC,649.5234909025456,2,0.0,1,633.2201598291753,45000.0,5000.0,57.69,Unknown,5768.486042857425,0.0006303359340926,0.6122873232868946,2.0,0.0974226301945205,0.8877403063690436,33346.10204208189,services
ChIJVzKcXbnqwjsRAuhZ3R36kEc,BRAWNS GYM,18.4657897,73.8577336,4.8,388,96.0,1,38,High,164160,Low,2080,cell_2080,0.0017366092573701,18.466047529934773,73.85945096293122,34,0.0,50872.34097025284,0.0,20.02,South Pune,Grade B,Medium,Dhankawadi,718.714789241011,76111,PMC_27,Bibwewadi,PMC,523.5632679993287,3,0.0,1,257.542009148409,45000.0,5000.0,57.69,Unknown,6050.677215010204,0.0006303359340926,0.7952020630127393,3.0,0.4409228255372125,3.948392191473795,50872.34097025284,services
ChIJT00_Fky-wjsR1dWRGkujmpg,Siddhi Health Club,18.5079431,73.78932689999999,4.3,130,86.0,1,11,High,42570,Low,1146,cell_1146,0.0018774456500302,18.508645356879995,73.78758574020166,3,0.0,28413.46311192351,0.0,15.59,West Pune,Grade C,Low,old vitthal mandir bavdhan,1300.485226334423,92410,PMC_3,Bavdhan,PMC,371.80175495333975,1,0.0,1,405.2977897319943,45000.0,5000.0,57.69,Unknown,7403.683997016194,0.0006303359340926,0.7115929501253332,1.0,0.0321164757520608,0.2929401425642027,28413.46311192351,services
ChIJjX4yJuS-wjsRi_1j4efzMc0,Ananyanish Nirvana Acupressure & Spiritual healing center,18.54072,73.7867435,4.8,81,96.0,1,10,Medium,43200,Low,1154,cell_1154,0.0021664108810549,18.542715987862756,73.78758574020166,12,0.0,17273.461756638553,508.3618106882065,29.3,West Pune,Grade A,High,Pashan,769.746361017756,76498,PMC_40,Pashan,PMC,134.3610306694946,1,164.6695784330368,3,0.0,45000.0,5000.0,57.69,Unknown,7697.598831877308,0.0006303359340926,3.0,0.8586126215689556,0.1548427056182094,1.3873153136488707,11451.802633982988,services
ChIJMyFdTUfqwjsRUhvZFR-fRyc,R. G. Fitness (Formerly Gitai Groups GYM),18.4597517,73.9120609,4.2,392,84.0,1,33,High,124740,Low,2787,cell_2787,0.0024092711484233,18.46178716507755,73.9133498799784,17,0.0,24660.75044475293,1051.1701875761726,16.0,South Pune,Grade C,Low,Undri Chowck,33.87806226592511,78826,PMC_39,Mohammadwadi,PMC,1446.1802429473184,1,665.2161612123804,1,2292.301169993356,45000.0,5000.0,57.69,Unknown,8841.124463850143,0.0006303359340926,0.3037389194871313,0.6005226368160744,0.2129631949490141,1.9138540517416072,12022.771486306585,services
ChIJP_-dN2fAwjsRcsRJUl37r6A,Husain trader,18.524043,73.863776,4.6,9,92.0,1,10,Low,41400,Low,2153,cell_2153,0.0016469627805175,18.52568152099306,73.86394253935183,6,0.0,33404.52903443526,0.0,13.81,Pune,Grade C,Low,manjari farm,668.0875439440949,76264,PMC_26,Rasta Peth,PMC,582.2020554397545,1,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,963.3287902447948,0.0006303359340926,2.0,1.0,0.0776558293642576,0.6955392747843828,33404.52903443526,services
ChIJ93pqRHfAwjsRr8vu5HOXspM,KabirBaug Pune,18.5165681,73.84686049999999,4.7,1155,94.0,1,111,High,469530,Medium,1915,cell_1915,0.0010661181674309,18.51716365100839,73.84597623366945,31,0.0,31040.69648705129,0.0,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,170.3684091968462,78493,PMC_35,Sadashiv Peth,PMC,492.98892798547104,3,0.0,3,0.0,45000.0,5000.0,57.69,Unknown,1186.5704787892937,0.0006303359340926,3.0,3.0,0.389971444026518,3.503101940266462,31040.69648705129,services
ChIJW4Dc_njAwjsRm4y4Jtvr6Jc,Arkfit Arena,18.5203807,73.8445594,4.3,409,86.0,1,36,High,139320,Low,1916,cell_1916,0.0017587082155181,18.521422639029137,73.84597623366945,22,0.0,29747.841384515006,0.0,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,348.86074346062657,89693,PMC_8,Ghole Road,PMC,604.6685538961514,2,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,1136.3735772864304,0.0006303359340926,1.0,2.0,0.2425766045891083,2.2067747986318,29747.841384515006,services
ChIJa6rhLIHAwjsRWlXmh1Ji7Es,Gnosis Medical Yoga Foundation,18.53256129999999,73.8485154,4.9,384,98.0,1,38,High,167580,Low,1978,cell_1978,0.0025483047838722,18.53419896666687,73.85046781009004,10,0.0,26961.372128632443,0.0,25.56,Central Pune,Grade B,Low,Shivajinagar,251.9632198041746,89957,PMC_7,Shivajinagar,PMC,169.35359641633238,1,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,1669.1466328940455,0.0006303359340926,2.0,1.0,0.1099420605340985,1.0004301849795412,26961.372128632443,services
