place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,mixed_use_score,repeat_customer_potential,convenience_score,premium_service_potential,services_market_opportunity
ChIJL3p94aDqwjsRS4rjhTYFAho,Art of Living's Yoga Class & Meditation Center,18.4815017,73.86138439999999,4.3,14,86.0,1,10,Low,38700,Low,2084,cell_2084,0.0025008615815323,18.483087931304407,73.85945096293122,4,0.0,37714.09836729815,0.0,20.02,South Pune,Grade B,Medium,Dhankawadi,2266.0482834436307,76550,PMC_28,Parvati,PMC,404.4134201279596,1,22.50598698388785,1,656.2204921555149,45000.0,5000.0,57.69,Unknown,4159.041346569712,0.0006303359340926,0.6037843419619413,0.977989383660946,0.0515796260477111,0.4621606008087809,37714.09836729815,services,1.0002403822262067,76.55,37714.702151640115,2596050.0,15310.0
ChIJRR_CNvPBwjsRwwl0hrby1rs,"Heels Dance Academy - Salsa, Belly Dance, Kizomba, Bollywood, Hiphop, Kids, Bharatnatyam, Kathak, Zumba | Dance Classes Pune",18.5099029,73.92841279999999,4.8,637,96.0,1,62,High,267840,Medium,2975,cell_2975,0.0020257750586267,18.508645356879995,73.9268246092402,29,0.0,27020.91758629053,0.0,21.23,East Pune,Grade B,Medium,Hadapsar Gaon,0.0,77669,PMC_12,Hadapsar,PMC,0.0,2,0.0,1,3.295340739190579,25000.0,3000.0,46.6,Low,7508.565364290866,0.0008491660333586,0.9967154828639364,2.0,0.3686331337629816,3.3078967479953008,27020.91758629053,services,2.000133163499016,77.669,27021.91430177339,1165000.0,2588.9666666666667
ChIJ____eAPAwjsRvkoS_s0vqCc,Vinod Dulal Yoga Institute,18.4892106,73.8499609,4.8,27,96.0,1,10,Medium,43200,Low,1967,cell_1967,0.0019305710355322,18.487347767027387,73.85046781009004,29,0.0,30539.24501220673,514.0735976891592,35.2,Central Pune,Grade A,Medium,Sadashiv Peth,2514.677624567179,76550,PMC_28,Parvati,PMC,376.97251282818615,2,0.0,1,56.47723127016798,45000.0,5000.0,57.69,Unknown,3733.531228339262,0.0006303359340926,0.9465419323781664,2.0,0.3739522888459058,3.350664355863662,20170.251339708306,services,2.0002677712245145,76.55,20171.197881640684,2596050.0,2551.6666666666665
ChIJYWXFp2XAwjsRkyguaJLTJkw,Herbalife Nutrition Pune,18.4379697,73.870875,4.6,28,92.0,1,10,Medium,41400,Low,2250,cell_2250,0.00269391037942,18.43622275562143,73.87292569219302,1,0.0,24230.958411183317,1122.1009105509147,20.28,South Pune,Grade B,High,Katraj,1164.7891201754423,88253,PMC_37,Katraj,PMC,1810.6292600784584,1,1157.2129268652304,1,2308.959909599505,45000.0,5000.0,57.69,Unknown,9515.216013196952,0.0006303359340926,0.3022097660050023,0.4635611012461145,0.0112041051841394,0.1017780627563535,11418.38179829665,services,1.000105083785258,88.253,11418.684008062655,2596050.0,44126.5
ChIJgTexvX_AwjsRF067zmD34wU,GT Fitness Club,18.526724,73.8435739,4.3,550,86.0,1,48,High,185760,Low,1858,cell_1858,0.0023348870964485,18.52568152099306,73.84148465724884,16,0.0,23667.61106367873,0.0,25.56,Central Pune,Grade B,Low,Shivajinagar,457.3387491121322,89957,PMC_7,Shivajinagar,PMC,547.028490113255,4,0.0,1,432.3540110794469,45000.0,5000.0,57.69,Unknown,1708.3407925032668,0.0006303359340926,0.6981514292310897,4.0,0.1759072968545576,1.600688295967266,23667.61106367873,services,4.000585020848028,89.957,23668.30921510796,2596050.0,5291.588235294118
ChIJWaQ6sTy_wjsRdHT8eiAxwYY,"Shiv Yog Pune, Healing & Meditation",18.5533714,73.80700139999999,4.4,14,88.0,1,10,Low,39600,Low,1393,cell_1393,0.0025675200108743,18.555490723395064,73.80555204588406,7,0.0,36497.27066260516,60.51117023271095,28.14,West Pune,Grade B,Medium,Aundh Gaon,162.07631629239768,92644,PMC_1,Aundh,PMC,162.07631629239768,1,44.9024872193113,1,159.96231290325522,45000.0,5000.0,57.69,Unknown,6655.954257025796,0.0006303359340926,0.8620969740793668,0.9570271027502236,0.0747511853402246,0.681968746346596,34414.7913638632,services,1.0001502188480482,92.644,34415.65346083728,2596050.0,11580.5
ChIJFxeB_WXqwjsRCwhaW5Z24nM,Total Yoga,18.5300886,73.82729719999999,5.0,2,100.0,1,10,Low,45000,Low,1682,cell_1682,0.0007279938180674,18.529940296879264,73.82800992798704,16,0.0,46024.49039427209,0.0,25.56,Central Pune,Grade B,Low,Shivajinagar,1841.7012484520676,89957,PMC_7,Shivajinagar,PMC,1919.624892006628,1,0.0,3,0.0,45000.0,5000.0,57.69,Unknown,3205.5130231768376,0.0006303359340926,3.0,1.0,0.1759072968545576,1.600688295967266,46024.49039427209,services,1.0003118652544905,89.957,46027.49039427209,2596050.0,5291.588235294118
ChIJ1T9WbuXqwjsR_KeJ5yhNebk,Vishwa Gym,18.4505422,73.8699178,4.2,560,84.0,1,48,High,181440,Low,2194,cell_2194,0.0021361091879766,18.449005436005177,73.86843411577242,11,0.0,42897.41526506447,0.0,20.28,South Pune,Grade B,High,Katraj,0.0,88253,PMC_37,Katraj,PMC,1023.0462120681168,1,0.0,1,1407.1704874206334,45000.0,5000.0,57.69,Unknown,8034.57980655403,0.0006303359340926,0.4154254986199729,1.0,0.1232451570255341,1.1195586903198884,42897.41526506447,services,1.00012444652708,88.253,42897.83069056309,2596050.0,7354.416666666667
ChIJfVro6xDBwjsRVxHiZR_uRtE,Artsphere,18.5492468,73.90317859999999,4.6,47,92.0,1,10,Medium,41400,Low,2690,cell_2690,0.0023140842317766,18.55123258441366,73.90436672713722,3,0.0,12523.67098157678,59.936042877484056,34.97,East Pune,Grade A,High,Kalyani Nagar,305.69578966032714,80082,PMC_21,Kalyani Nagar,PMC,117.82695727190004,1,279.8055020654459,1,493.8463046284013,45000.0,5000.0,57.69,Unknown,6083.437495194632,0.0006303359340926,0.6694129087454904,0.7813687301594853,0.036999580671419,0.3330299060855665,11815.496855430898,services,1.0001643537304459,80.082,11816.166268339644,2596050.0,20020.5
ChIJxf5zenbAwjsRU-98BdrWhgU,Sun Jeevan Yoga Darshan,18.5164035,73.8470055,4.2,31,84.0,1,10,Medium,37800,Low,1915,cell_1915,0.001279538485062,18.51716365100839,73.84597623366945,31,0.0,31040.69648705129,0.0,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,170.3684091968462,78493,PMC_35,Sadashiv Peth,PMC,492.98892798547104,3,0.0,3,0.0,45000.0,5000.0,57.69,Unknown,1186.5704787892937,0.0006303359340926,3.0,3.0,0.389971444026518,3.503101940266462,31040.69648705129,services,3.0008420552867054,78.493,31043.69648705129,2596050.0,2452.90625
ChIJY_ZDwBvAwjsRoL49r7hFL4A,Institute Of Indian & Modern Music,18.491106,73.858203,4.4,21,88.0,1,10,Medium,39600,Low,2086,cell_2086,0.0013449574636558,18.49160749686076,73.85945096293122,15,0.0,32595.762266812493,0.0,35.2,Central Pune,Grade A,Medium,Sadashiv Peth,2109.0894946462618,76550,PMC_28,Parvati,PMC,168.23867473184455,2,0.0,1,447.9121338524192,45000.0,5000.0,57.69,Unknown,3214.6943950422647,0.0006303359340926,0.6906496441461044,2.0,0.1934235976789168,1.7331022530329288,32595.762266812493,services,2.000310974824455,76.55,32596.452916456637,2596050.0,4784.375
ChIJnQFqo7fqwjsRvePyQVL_aKk,Art of Living's Yoga Class & Meditation Center,18.4626347,73.85192339999999,4.7,3,94.0,1,10,Low,42300,Low,1961,cell_1961,0.0016843566815629,18.46178716507755,73.85046781009004,7,0.0,53828.10914679905,581.5369905425388,20.02,South Pune,Grade B,Medium,Dhankawadi,0.0,76903,PMC_30,Dhankawadi,PMC,382.2244507984724,1,152.9733093243558,1,140.65236582327634,45000.0,5000.0,57.69,Unknown,6550.502207463996,0.0006303359340926,0.8766912952293233,0.867322766201762,0.0898553329140084,0.8054957826542236,34035.31467723279,services,1.0001526367493032,76.903,34036.191368528016,2596050.0,9612.875
ChIJX-OawPLBwjsRuMxyv_802yk,ABS FITNESS - MAGARPATTA CITY. GYM. PUNE,18.5107948,73.92640349999999,4.4,1189,88.0,1,107,High,423720,Medium,2976,cell_2976,0.0021513733723993,18.51290455695171,73.92682460924019,1,17.124119760934263,12569.806510004017,231.49397748177736,32.09,East Pune,Grade A,High,Magarpatta,81.85546138178468,77669,PMC_12,Hadapsar,PMC,220.1070463391952,1,89.97203385119114,1,33.78780649136752,45000.0,5000.0,57.69,Unknown,7440.66149216816,0.0006303359340926,0.9673164973709238,0.917454731812436,0.0127114873711372,0.1140654051032862,10206.957354113423,services,1.0001343785928791,77.669,10207.924670610793,2596050.0,38834.5
ChIJ_____3TAwjsR0p4Te6rauwQ,Kelkar's Gymnasium And Fitness Centre,18.5084873,73.85095729999999,3.4,19,68.0,0,10,Low,30599,Low,1972,cell_1972,0.0005143756888302,18.508645356879995,73.85046781009004,34,0.0,31202.785987957413,105.92600252924429,35.2,Central Pune,Grade A,Medium,Sadashiv Peth,14.67762456741184,78493,PMC_35,Sadashiv Peth,PMC,14.67762456741184,2,0.0,1,317.2800366555397,45000.0,5000.0,57.69,Unknown,1462.9440357842566,0.0006303359340926,0.7591400250313621,2.0,0.4277106160290843,3.842111805453539,28214.171578023197,services,2.0006830862215743,78.493,28214.93071804823,2596050.0,2242.657142857143
ChIJDSN2qurqwjsR-xEi4FheuLM,Gravity Fitness Club,18.4612502,73.8653836,4.0,691,80.0,1,56,High,201600,Medium,2138,cell_2138,0.0015378515163144,18.46178716507755,73.86394253935183,3,0.0,31150.433190805124,377.1116000600159,20.02,South Pune,Grade B,Medium,Dhankawadi,1201.8888392969966,76111,PMC_27,Bibwewadi,PMC,315.7197927372055,1,101.48691155388951,1,566.9710742833558,45000.0,5000.0,57.69,Unknown,6562.04823819919,0.0006303359340926,0.6381738734120179,0.9078637154110892,0.0389049551944599,0.3483875463065113,22620.12257354274,services,1.0001523682233782,76.111,22620.760747416152,2596050.0,19027.75
ChIJsTX5JnrqwjsR4LjPNMwyOTc,Empower Gym & Fitness Club,18.4814392,73.89861909999999,4.2,323,84.0,1,27,High,102060,Low,2615,cell_2615,0.0020726741945737,18.483087931304407,73.89987515071661,31,0.0,39517.1839281066,704.7483904836699,25.36,South Pune,Grade B,High,Wanowrie,833.0699114665927,76204,PMC_11,Wanowrie,PMC,44.85361056262627,1,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,6159.605542381132,0.0006303359340926,2.0,1.0,0.4015335992953733,3.5961208296598763,23180.654780905712,services,1.000162321705735,76.204,23182.654780905712,2596050.0,2381.375
ChIJ71Btw4W_wjsR8vcb7HKHdTY,Status Health Club,18.517931,73.8360062,4.2,64,84.0,1,10,Medium,37800,Low,1797,cell_1797,0.0012501032933596,18.51716365100839,73.83699308082824,10,0.0,39155.10182282137,226.4897049449604,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,329.6315908031538,78493,PMC_35,Sadashiv Peth,PMC,1190.0614856006118,1,36.93498527724296,1,129.94228923227638,45000.0,5000.0,57.69,Unknown,2108.7751947525785,0.0006303359340926,0.8850009505170713,0.9643806161411675,0.1257972400085542,1.1300328839569231,31924.52546886929,services,1.000473984148874,78.493,31925.41046981981,2596050.0,7135.727272727273
