iter	Logloss
362	0.1350364756
363	0.134180225
364	0.1331802182
365	0.13212648
366	0.1318170445
367	0.1311244106
368	0.130942095
369	0.1307134952
370	0.1301105233
371	0.1297480928
372	0.1294609215
373	0.1290510873
374	0.1284683526
375	0.1278090281
376	0.1274658807
377	0.1270957111
378	0.1267407809
379	0.1264741818
380	0.1258692045
381	0.1256471735
382	0.125051988
383	0.1242368079
384	0.1236105907
385	0.1232730189
386	0.1227484848
387	0.1222001505
388	0.1215429909
389	0.1212537269
390	0.1205775728
391	0.1199281466
392	0.1195077096
393	0.1189935492
394	0.11872852
395	0.1180952704
396	0.1177951461
397	0.1174698313
398	0.1170739745
399	0.1164325358
400	0.1160115661
401	0.1158328719
402	0.1155343767
403	0.1152059512
404	0.114497408
405	0.1138591207
406	0.1136199643
407	0.1133560492
408	0.1130416383
409	0.1127858456
410	0.1123519145
411	0.111884177
412	0.1112723674
413	0.1111064011
414	0.1104783511
415	0.1099970282
416	0.1096366845
417	0.1093423519
418	0.1087277166
419	0.1085184317
420	0.1083109933
421	0.1081155494
422	0.1077902866
423	0.1076083993
424	0.1069795026
425	0.1063528605
426	0.1060346434
427	0.1055940816
428	0.1053567099
429	0.1049709134
430	0.1044991379
431	0.1043212689
432	0.1040729898
433	0.1037086361
434	0.1034421465
435	0.1032384139
436	0.1031152854
437	0.1026225061
438	0.1023432095
439	0.1020911088
440	0.1015329371
441	0.1014102437
442	0.10097291
443	0.1006717755
444	0.1003951222
445	0.09999282125
446	0.09977322204
447	0.09953253456
448	0.09916180299
449	0.09885203495
450	0.09857056367
451	0.09810532856
452	0.09762152232
453	0.09747447104
454	0.09723870499
455	0.09673209789
456	0.096334556
457	0.09594945407
458	0.09554422196
459	0.09527456172
460	0.09483811541
461	0.09469677637
462	0.09434363577
463	0.09422592567
464	0.0940458078
465	0.09355526795
466	0.09323441443
467	0.09295202283
468	0.09280637655
469	0.09247201804
470	0.09197797501
471	0.09154722475
472	0.09124392884
473	0.0908749133
474	0.09065994902
475	0.09050208943
476	0.09003197607
477	0.08983508402
478	0.08941765577
479	0.08900506604
480	0.08865383525
481	0.08825146858
482	0.0877925344
483	0.08761769116
484	0.08726581281
485	0.08710483318
486	0.08690480342
487	0.08683734617
488	0.08667393035
489	0.08647176366
490	0.08616754695
491	0.0860244541
492	0.08571836585
493	0.08541671386
494	0.0852889578
495	0.08500626107
496	0.08472470492
497	0.08456346626
498	0.08420981939
499	0.0840944145
500	0.08380091681
501	0.08343632771
502	0.08311280449
503	0.08273032958
504	0.08236956008
505	0.08197369644
506	0.08172161785
507	0.08158687505
508	0.08136981407
509	0.08111993619
510	0.08074209474
511	0.0803669593
512	0.08011301506
513	0.07976781831
514	0.07945981094
515	0.07904831372
516	0.07865376384
517	0.07847098313
518	0.0783590878
519	0.07802435106
520	0.07772581518
521	0.07740708585
522	0.07726998388
523	0.0768774321
524	0.07653596077
525	0.07636413113
526	0.07627002153
527	0.07618712349
528	0.07604234699
529	0.07570609683
530	0.07553683093
531	0.07545985459
532	0.07535594334
533	0.0752561372
534	0.075083972
535	0.07504040076
536	0.07490036566
537	0.07466349975
538	0.07440306768
539	0.07433318552
540	0.07422991888
541	0.07406956571
542	0.07383214888
543	0.0736760946
544	0.073535721
545	0.07336297594
546	0.07300603537
547	0.07276943731
548	0.07241696634
549	0.07213263747
550	0.07198885635
551	0.07173268
552	0.07130572335
553	0.0711494331
554	0.0708784802
555	0.07057653043
556	0.07029967936
557	0.07011846996
558	0.07002830064
559	0.06979523814
560	0.06947914514
561	0.0692679313
562	0.06919554771
563	0.06908022131
564	0.06895147086
565	0.06885890166
566	0.06875279313
567	0.06868457353
568	0.06836317989
569	0.06825473132
570	0.06820571864
571	0.06813520218
572	0.06802691256
573	0.0677491765
574	0.0676013192
575	0.06752024707
576	0.06744872003
577	0.06713701374
578	0.06681020073
579	0.06668055499
580	0.0666032436
581	0.06653283702
582	0.06643579428
583	0.066363915
584	0.06621684165
585	0.06589888643
586	0.06577972571
587	0.06571315738
588	0.0655000146
589	0.06532874667
590	0.06524192649
591	0.0650514639
592	0.06484940415
593	0.06451740235
594	0.06443495073
595	0.06435401302
596	0.0641995428
597	0.06392047533
598	0.06381856071
599	0.06352776264
600	0.06341001624
601	0.06330627914
602	0.06302047021
603	0.06274288966
604	0.06268341993
605	0.06249345624
606	0.06237460605
607	0.0622280998
608	0.06198475636
609	0.06187252007
610	0.0616988081
611	0.06153256854
612	0.06145206302
613	0.06123785914
614	0.06104875052
615	0.0607929475
616	0.06070594876
617	0.06062686247
618	0.06042838146
619	0.06035326342
620	0.06019981359
621	0.06001960054
622	0.05991721938
623	0.05976408107
624	0.05960167681
625	0.05934514479
626	0.05927286864
627	0.05909586591
628	0.05901676637
629	0.05878436369
630	0.058614644
631	0.05849857487
632	0.05837638094
633	0.05823311443
634	0.05801547211
635	0.05795125755
636	0.05777603069
637	0.05772828467
638	0.05757239768
639	0.05751561824
640	0.05721351492
641	0.05703054779
642	0.05679028711
643	0.0565618463
644	0.05643405296
645	0.05640782348
646	0.05632938377
647	0.05621331219
648	0.05613749802
649	0.05592995318
650	0.05583273678
651	0.05561329848
652	0.05537500058
653	0.05513516964
654	0.05495922261
655	0.05485683998
656	0.05474701634
657	0.05461265962
658	0.05451621489
659	0.05427138158
660	0.05405967667
661	0.05390673312
662	0.0537497129
663	0.05360161866
664	0.05351171474
665	0.05342429852
666	0.05320620782
667	0.0530518156
668	0.05300516209
669	0.05283205597
670	0.05274913144
671	0.05251009867
672	0.05243254885
673	0.05232306027
674	0.05220296157
675	0.0521053532
676	0.05201499158
677	0.05195943809
678	0.05192596039
679	0.05178723414
680	0.05161156919
681	0.05139202247
682	0.05122970014
683	0.05109446137
684	0.05095214265
685	0.05082171444
686	0.05073589798
687	0.05062447163
688	0.05055581935
689	0.05048821738
690	0.05042370111
691	0.05033430788
692	0.05028150798
693	0.05020975282
694	0.05018266533
695	0.04999461586
696	0.04994097659
697	0.0499004989
698	0.04982279161
699	0.04972045412
700	0.04961848504
701	0.04955883232
702	0.04951403612
703	0.0494433769
704	0.04938065859
705	0.04933158753
706	0.04917932881
707	0.04899341972
708	0.04894262184
709	0.04881900672
710	0.04874432774
711	0.04857802882
712	0.04839948862
713	0.04831708655
714	0.0481283076
715	0.04808194941
716	0.04804535118
717	0.04798881507
718	0.04793451745
719	0.0478374021
720	0.04777567671
721	0.04764518571
722	0.04756215374
723	0.04740180253
724	0.04727952225
725	0.04716404622
726	0.04708037995
727	0.04696772079
728	0.04687688331
729	0.04675446224
730	0.0466281205
731	0.04654322681
732	0.04648836061
733	0.04635853287
734	0.04630879806
735	0.0461695312
736	0.0459957319
737	0.04585394104
738	0.04581326124
739	0.04578703176
740	0.04566929223
741	0.04553003174
742	0.045404653
743	0.04530698086
744	0.04523674598
745	0.04519243054
746	0.04513457135
747	0.04504911056
748	0.04489210555
749	0.0448232222
750	0.04479160819
751	0.04475966403
752	0.04467597567
753	0.04452635771
754	0.04448900596
755	0.04434902629
756	0.04418482162
757	0.04404169885
758	0.0439138177
759	0.04379367485
760	0.04377245903
761	0.04370296983
762	0.04366395895
763	0.04360763772
764	0.04353287779
765	0.04348445037
766	0.04335459956
767	0.04329185967
768	0.04318704625
769	0.04312742787
770	0.04310868061
771	0.04305873682
772	0.04293977135
773	0.04289915336
774	0.04282723337
775	0.04275208295
776	0.04259169887
777	0.0425569079
778	0.04240103366
779	0.04229810307
780	0.04223691289
781	0.04208924398
782	0.04205831971
783	0.04202346939
784	0.04197540352
785	0.04189794348
786	0.04184713383
787	0.04171790851
788	0.04161985862
789	0.04147877369
790	0.0413465961
791	0.04123830992
792	0.04113548332
793	0.04101143698
794	0.04090989862
795	0.04078941728
796	0.04076404434
797	0.04065717689
798	0.04054341297
799	0.04046914411
797	0.03486627963
798	0.03477747646
799	0.03475096705
3888530643
